Settimana;Anno;Insegna;Pdv_codice;Pdv_località;Cod_Art_fornitore;Cod_Art_cliente;Descrizione;Pz_venduti;Valore_€;Prezzo_medio_scaffale;Rotture_stock_gg;Scorta_pdv;Promo_attiva;Note
11;2026;Tosano;T003;Bussolengo;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;132;209,88;1,59;0;64;NO;
11;2026;Tosano;T001;Cerea;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;118;187,62;1,59;0;58;NO;
11;2026;Tosano;T007;S.Giovanni Lupatoto;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;95;151,05;1,59;0;41;NO;
11;2026;Tosano;T009;Villafranca VR;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;88;139,92;1,59;0;47;NO;
11;2026;Tosano;T011;Legnago;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;76;120,84;1,59;0;33;NO;
11;2026;Tosano;T014;Affi;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;61;96,99;1,59;0;29;NO;
11;2026;Tosano;T016;Lugagnano di Sona;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;70;111,30;1,59;0;35;NO;
11;2026;Tosano;T018;San Bonifacio;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;83;131,97;1,59;0;;NO;
11;2026;Tosano;T021;Vicenza Est;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;104;165,36;1,59;0;52;NO;
11;2026;Tosano;T024;Arzignano;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;66;104,94;1,59;0;30;NO;
11;2026;Tosano;T027;Thiene;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;72;114,48;1,59;0;38;NO;
11;2026;Tosano;T029;Bassano del Grappa;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;58;92,22;1,59;0;26;NO;
11;2026;Tosano;T003;Bussolengo;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;64;146,56;2,29;0;40;NO;
11;2026;Tosano;T001;Cerea;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;71;162,59;2,29;0;44;NO;
11;2026;Tosano;T007;S.Giovanni Lupatoto;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;48;109,92;2,29;0;27;NO;
11;2026;Tosano;T009;Villafranca VR;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;52;119,08;2,29;0;31;NO;
11;2026;Tosano;T011;Legnago;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;39;89,31;2,29;0;22;NO;
11;2026;Tosano;T021;Vicenza Est;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;66;151,14;2,29;0;38;NO;
11;2026;Tosano;T027;Thiene;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;44;100,76;2,29;0;25;NO;
11;2026;Tosano;T029;Bassano del Grappa;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;37;84,71;2,29;0;N/D;NO;
11;2026;Tosano;T003;Bussolengo;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;55;103,95;1,89;0;32;NO;
11;2026;Tosano;T001;Cerea;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;49;92,61;1,89;0;28;NO;
11;2026;Tosano;T009;Villafranca VR;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;41;77,49;1,89;0;24;NO;
11;2026;Tosano;T014;Affi;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;33;62,37;1,89;0;19;NO;
11;2026;Tosano;T018;San Bonifacio;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;38;71,82;1,89;0;21;NO;
11;2026;Tosano;T021;Vicenza Est;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;47;88,83;1,89;0;26;NO;
12;2026;Tosano;T003;Bussolengo;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;127;201,93;1,59;0;60;NO;
12;2026;Tosano;T001;Cerea;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;109;173,31;1,59;0;55;NO;
12;2026;Tosano;T007;S.Giovanni;Lupatoto;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;101;160,59;1,59;0;44;NO
12;2026;Tosano;T009;Villafranca VR;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;84;133,56;1,59;0;45;NO;
12;2026;Tosano;T011;Legnago;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;80;127,20;1,59;0;31;NO;
12;2026;Tosano;T014;Affi;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;66;104,94;1,59;0;27;NO;
12;2026;Tosano;T016;Lugagnano di Sona;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G  BONTA DI CASA;63;100,17;1,59;0;33;NO;
12;2026;Tosano;T018;San Bonifacio;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;79;125,61;1,59;0;36;NO;
12;2026;Tosano;T021;Vicenza Est;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;111;176.49;1.59;0;50;NO;
12;2026;Tosano;T024;Arzignano;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;59;93,81;1,59;0;28;NO;
12;2026;Tosano;T027;Thiene;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;75;119,25;1,59;0;36;NO;
12;2026;Tosano;T029;Bassano del Grappa;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;61;96,99;1,59;0;24;NO;
12;2026;Tosano;T003;Bussolengo;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;59;135,11;2,29;0;37;NO;
12;2026;Tosano;T001;Cerea;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;68;155,72;2,29;0;41;NO;
12;2026;Tosano;T007;S.Giovanni Lupatoto;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;51;116,79;2,29;0;29;NO;
12;2026;Tosano;T009;Villafranca VR;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;47;107,63;2,29;0;;NO;
12;2026;Tosano;T011;Legnago;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;42;96,18;2,29;0;23;NO;
12;2026;Tosano;T021;Vicenza Est;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;61;139,69;2,29;0;35;NO;
12;2026;Tosano;T027;Thiene;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;40;91,60;2,29;0;22;NO;
12;2026;Tosano;T029;Bassano del Grappa;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;35;80,15;2,29;0;20;NO;
12;2026;Tosano;T003;Bussolengo;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;51;96,39;1,89;0;30;NO;
12;2026;Tosano;T001;Cerea;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;44;83,16;1,89;0;25;NO;
12;2026;Tosano;T009;Villafranca VR;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;39;73,71;1,89;0;22;NO;
12;2026;Tosano;T014;Affi;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;30;56,70;1,89;0;18;NO;
12;2026;Tosano;T018;San Bonifacio;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;42;79,38;1,89;0;23;NO;
12;2026;Tosano;T021;Vicenza Est;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;44;83,16;1,89;0;24;NO;
Settimana;Anno;Insegna;Pdv_codice;Pdv_localitÃ ;Cod_Art_fornitore;Cod_Art_cliente;Descrizione;Pz_venduti;Valore_â‚¬;Prezzo_medio_scaffale;Rotture_stock_gg;Scorta_pdv;Promo_attiva;Note
13;2026;Tosano;T003;Bussolengo;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;138;219,42;1,59;0;62;NO;
13;2026;Tosano;T001;Cerea;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;122;193,98;1,59;0;57;NO;
13;2026;Tosano;T007;S.Giovanni Lupatoto;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;92;146,28;1,59;0;40;NO;
13;2026;Tosano;T009;Villafranca VR;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;90;143,10;1,59;0;46;NO;
13;2026;Tosano;T011;Legnago;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;71;112,89;1,59;0;30;NO;
13;2026;Tosano;T014;Affi;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;58;92,22;1,59;0;28;NO;
13;2026;Tosano;T016;Lugagnano di Sona;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;74;117,66;1,59;0;34;NO;
13;2026;Tosano;T018;San Bonifacio;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;85;135,15;1,59;0;37;NO;
13;2026;Tosano;T021;Vicenza Est;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;99;157,41;1,59;0;49;NO;
13;2026;Tosano;T024;Arzignano;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;70;111,30;1,59;0;31;NO;
13;2026;Tosano;T027;Thiene;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;68;108,12;1,59;0;35;NO;
13;2026;Tosano;T029;Bassano del Grappa;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;54;85,86;1,59;0;25;NO;
13;2026;Tosano;T003;Bussolengo;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;66;151,14;2,29;0;39;NO;
13;2026;Tosano;T001;Cerea;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;73;167,17;2,29;0;43;NO;
13;2026;Tosano;T007;S.Giovanni Lupatoto;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;45;103,05;2,29;0;26;NO;
13;2026;Tosano;T009;Villafranca VR;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;55;125,95;2,29;0;32;NO;
13;2026;Tosano;T011;Legnago;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;38;87,02;2,29;0;21;NO;
13;2026;Tosano;T021;Vicenza Est;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;69;158,01;2,29;0;#RIF!;NO;
13;2026;Tosano;T027;Thiene;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;46;105,34;2,29;0;24;NO;
13;2026;Tosano;T029;Bassano del Grappa;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;40;91,60;2,29;0;23;NO;
13;2026;Tosano;T003;Bussolengo;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;58;109,62;1,89;0;31;NO;
13;2026;Tosano;T001;Cerea;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;46;86,94;1,89;0;26;NO;
13;2026;Tosano;T009;Villafranca VR;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;44;83,16;1,89;0;23;NO;
13;2026;Tosano;T014;Affi;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;35;66,15;1,89;0;20;NO;
13;2026;Tosano;T018;San Bonifacio;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;36;68,04;1,89;0;;NO;
13;2026;Tosano;T021;Vicenza Est;AF-FC-0330;79055;FOCACCINA OLIO EVO 2X90G AURORA;50;94,50;1,89;0;27;NO;
TOTALE SETT. 11-13;;;;;;;;5.023;8.312,44;;;;;controllo quadratura (Trentin)
14;2026;Tosano;T003;Bussolengo;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;125;198,75;1,59;0;59;NO;
14;2026;Tosano;T001;Cerea;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;115;182,85;1,59;0;54;NO;
14;2026;Tosano;T007;S.Giovanni Lupatoto;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;97;154,23;1,59;0;42;NO;
14;2026;Tosano;T009;Villafranca VR;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;86;136,74;1,59;0;44;NO;
14;2026;Tosano;T011;Legnago;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;78;124,02;1,59;0;32;NO;
14;2026;Tosano;T014;Affi;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;64;101,76;1,59;0;26;NO;
14;2026;Tosano;T016;Lugagnano di Sona;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;68;108,12;1,59;0;32;NO;
14;2026;Tosano;T018;San Bonifacio;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;81;128,79;1,59;0;35;NO;
14;2026;Tosano;T021;Vicenza Est;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;108;171,72;1,59;0;51;NO;
14;2026;Tosano;T024;Arzignano;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;62;98,58;1,59;0;29;NO;
14;2026;Tosano;T027;Thiene;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;70;111,30;1,59;0;34;NO;
14;2026;Tosano;T029;Bassano del Grappa;AF-SN-0450;88412;SNACK RUSTICO MULTICEREALI 100G BONTA DI CASA;56;89,04;1,59;0;23;NO;
14;2026;Tosano;T003;Bussolengo;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;62;141.98;2.29;0;38;NO;
14;2026;Tosano;T001;Cerea;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;66;151.14;2.29;0;40;NO;
14;2026;Tosano;T007;S.Giovanni Lupatoto;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;49;112.21;2.29;0;28;NO;
14;2026;Tosano;T009;Villafranca VR;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;50;114.50;2.29;0;30;NO;
14;2026;Tosano;T011;Legnago;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;41;93.89;2.29;0;22;NO;
14;2026;Tosano;T021;Vicenza Est;AF-CR-0215;77210;CORNETTO BONTA DI CASA 8X45G SURG;64;146.56;2.29;0;36;NO;
