INVESTIMENTO LINEA 3 - TUNNEL SURGELAZIONE A SPIRALE;;;;;
Aurora Food Group S.r.l. - elaborazione L. Trentin con dati ing. Fantin;;;;;
versione 7 (!!) del 04/05/2026 - QUELLA BUONA e' questa;;;;;
;;;;;
SEZIONE A - QUADRO ECONOMICO INVESTIMENTO;;;;;
rif. offerta Criotech Impianti S.r.l. (F0070) n. OF-2026-0311 rev.3 del 12/03/26;;;;;
Voce;Fornitore;Importo (EUR, iva escl.);Note;;
Tunnel surgelazione a spirale CR-SP180;Criotech Impianti (F0070);290.000,00;capacita' 1.800 kg/h su cornetto 45g, resa dichiarata;
Trasporto eccezionale RE -> Cologna Veneta;Criotech (subapp. Autotrasp. Bregolin);6.500,00;2 colli fuori sagoma, scorta tecnica;
Scarico e posizionamento (autogru);Criotech;compreso;verificare in conferma d'ordine!!;
Opere murarie e basamento;Edilcologna S.r.l.;18.300,00;preventivo del 21/04, taglio pavimento + ripristino;
Impianto frigo a glicole + collegamento centrale;Frigotermica Scaligera;41.200,00;incl. pompe e coibentazioni linee;
Quadro elettrico bordo macchina + cablaggi;Elettromontaggi Berica;12.800,00;cavo da cabina, 160 kW impegnati;
Modifica supervisione/scada + interconnessione 4.0;Systempoint + Criotech;7.400,00;NECESSARIA per credito imposta, vedi nota Bellotto;
Collaudo e avviamento (5 gg);Criotech;compreso in fornitura;;
Formazione operatori (Guerra + 4 turnisti);Criotech;1.900,00;2 giornate, registrare su MOD-HR-11;
Smontaggio e smaltimento TS-01;Frigotermica Scaligera;4.600,00;recupero gas + rottamazione, DOPO collaudo nuovo;
Subtotale;;=SOMMA(C8:C17);;
Subtotale (a mano);;382.700,00;;
Imprevisti 8%;;30.616,00;=C19*0,08;
TOTALE INVESTIMENTO;;413.316,00;;
;;;;;
TOTALE da riepilogo Fantin (sua mail 28/04);;411.416,00;NON TORNA con il mio: lui gli imprevisti li calcola senza lo smaltimento TS-01 e senza formazione. differenza 1.900,00... no, 2.100? ricontrollare insieme;
;;;;;
SEZIONE B - SCADENZARIO PAGAMENTI FORNITURA CRIOTECH;;;;;
condizioni: 30% all'ordine / 60% alla consegna / 10% al collaudo positivo;;;;;
su imponibile macchina 290.000,00 (trasporto e formazione fatturati a parte);;;;;
Milestone;Data prevista;%;Importo;IVA 22%;Totale
Acconto ordine;15/05/2026;30%;87.000,00;19.140,00;106.140,00
Consegna in stabilimento;2026-09-10;60%;174.000,00;38.280,00;212.280,00
Collaudo positivo + verbale interconnessione;10-nov-26;10%;29.000,00;6.380,00;35.380,00
Totale fornitura;;100%;290.000,00;63.800,00;353.800,00
nb acconto: bonifico ordinato 14/05, ADDEBITATO 15/05 su UniCredit;;;;vedi estratto conto maggio, cassa in tensione;
nb: iva su acconto recuperata in liquidazione di giugno;;;;;
altri fornitori (Edilcologna, Frigotermica, Elettromontaggi): 50% avvio / 50% fine lavori;;;;;
;;;;;
SEZIONE C - CONFRONTO OFFERTA CONCORRENTE;;;;;
;Criotech CR-SP180;Nordfreeze NF-160 (offerta 04/03/26);;;
Prezzo macchina;290.000,00;262.000,00;;;
Capacita' nominale kg/h;1.800;1.550;;;
Consumo specifico kWh/kg;0,092;0,118;;;
Ingombro a terra mq;68;81;NON sta nel locale attuale senza spostare CF-02!!;;
Consegna;16 settimane;22 settimane;;;
Assistenza;Reggio Emilia, 24h;Germania via importatore;;;
Predisposizione 4.0;si, nativa;opzionale +9.800;;;
Valutazione Fantin;SCELTA;scartata;verbale riunione 10/03 firmato Fantin;;
motivo: col consumo e i tempi consegna il delta prezzo rientra in 2,1 anni;;;;;
;;;;;
SEZIONE D - RISPARMIO ENERGETICO ATTESO vs TS-01;;;;;
Parametro;TS-01 (attuale);CR-SP180;Delta;;
Consumo specifico kWh/kg surgelato;0,148;0,092;-38%;dato targa Criotech, da verificare a collaudo;
Produzione surgelati prevista 2027 (kg);;1.150.000;;da budget Silvia canale PL;
kWh/anno;170.200;105.800;-64.400;;
Costo medio EE EUR/kWh;0,205;0,205;;media contratto Veneta Energia gen-apr 26;
Costo energia annuo EUR;34.891,00;21.689,00;-13.202,00;;
Manutenzione annua stimata;6.500,00;1.800,00;-4.700,00;TS-01: media riparazioni extra 24-25 (dati miei opex);
