Data;Linea;Turno;Pz_teorici;Pz_prodotti;Pz_conformi;Scarto_pasta_kg;Scarto_prodotto_pz;Disponibilità_%;Performance_%;Qualità_%;OEE_%;Fermi_min;Causale_fermo;Note
01/04/26;L1;T1;14400;11108;10965;19,8;143;87,5;88,2;98,7;76,1;60;attesa muletto;
01/04/26;L1;T2;14400;11005;10611;55,2;394;99,0;77,2;96,4;73,7;5;aspetta impasto l2;
01/04/26;L2;T1;9600;7305;7116;31,0;189;91,7;83,0;97,4;74,1;40;guasto minore;
01/04/26;L2;T2;9600;7497;7333;19,7;164;87,3;89,5;97,8;76,4;61;microfermate / inceppo film;
02/04/26;L1;T1;14400;9978;9821;19,3;157;89,6;77,3;98,4;68,2;50;carta forno finita;
02/04/26;L1;T2;14400;9897;9829;13,1;68;87,5;78,5;99,3;68,3;60;pulizia straordinaria;
02/04/26;L2;T1;9600;7369;7068;38,5;301;81,2;94,5;95,9;73,6;90;microfermate / inceppo film;
02/04/26;L2;T2;9600;8415;8288;21,8;127;96,0;91,3;98,5;86,3;19;cambio formato;
03/04/26;L1;T1;14400;10971;10857;22,4;114;87,5;87,1;99,0;75,4;60;attesa impasto;
03/04/26;L1;T2;14400;11305;10875;50,7;430;96,5;81,4;96,2;75,5;17;cambio bob.;
03/04/26;L2;T1;9600;7562;7392;28,4;170;86,7;90,9;97,8;77,0;64;attesa impasto;
03/04/26;L2;T2;9600;7302;7179;25,1;123;100,0;76,1;98,3;74,8;0;;
04/04/26;L1;T1;14400;11325;10941;49,9;384;92,7;84,8;96,6;76,0;35;elettricista;
04/04/26;L1;T2;14400;11150;10931;31,3;219;97,9;79,1;98,0;75,9;10;cambio bobina film;
04/04/26;L2;T1;9600;7516;7277;33,8;239;96,9;80,8;96,8;75,8;15;mancanza personale;
04/04/26;L2;T2;9600;7260;7216;18,2;44;81,2;93,1;99,4;75,2;90;inceppo film x3;
TOT SETT 14;;;;146.965;;;3266;;;;;;;(subtotale da tab. pivot, non cancellare - L.T.)
06/04/26;L1;T1;14400;9997;9700;41,2;297;90,6;76,6;97,0;67,4;45;microfermate / inceppo film;
06/04/26;L1;T2;14400;12688;12499;32,2;189;90,6;97,2;98,5;86,8;45;microfermate / inceppo film;
06/04/26;L2;T1;9600;7262;7175;16,7;87;81,2;93,1;98,8;74,7;90;cambio bobina film;
06/04/26;L2;T2;9600;7570;7469;16,2;101;93,5;84,3;98,7;77,8;31;attesa impasto;
07/04/26;L1;T1;14400;11669;11247;55,2;422;88,8;91,3;96,4;78,1;54;guasto minore;
07/04/26;L1;T2;14400;10374;10173;24,8;201;97,9;73,6;98,1;70,6;10;microfermate / inceppo film;
07/04/26;L2;T1;9600;8259;7953;41,9;306;87,5;98,3;96,3;82,8;60;microfermate / inceppo film;
07/04/26;L2;T2;9600;7527;7472;11,4;55;99,0;79,2;99,3;77,8;5;pulizia straordinaria;
08/04/26;L1;T1;14400;11593;11271;47,6;322;94,0;85,7;97,2;78,3;29;attesa muletto;
08/04/26;L1;T2;14400;11620;11408;27,7;212;95,8;84,2;98,2;79,2;20;cambio bobina film;
08/04/26;L2;T1;9600;7222;7055;20,6;167;95,6;78,7;97,7;73,5;21;guasto minore;
08/04/26;L2;T2;9600;6796;6642;25,5;154;95,8;73,9;97,7;69,2;20;cambio formato;
09/04/26;L1;T1;14400;10734;10645;16,6;89;95,8;77,8;99,2;73,9;20;cambio bobina film;
09/04/26;L1;T2;14400;10340;10084;39,9;256;96,9;74,1;97,5;70,0;15;cambio formato;
09/04/26;L2;T1;9600;7688;7606;11,5;82;84,4;94,9;98,9;79,2;75;microfermate / inceppo film;
09/04/26;L2;T2;9600;7777;7521;31,2;256;95,8;84,5;96,7;78,3;20;attesa impasto;
10/04/26;L1;T1;14400;11600;11509;21,2;91;90,6;88,9;99,2;79,9;45;attesa impasto;
10/04/26;L1;T2;14400;11016;10610;52,0;406;87,5;87,4;96,3;73,7;60;microfermate / inceppo film;
10/04/26;L2;T1;9600;7616;7459;26,6;157;91,7;86,5;97,9;77,7;40;attesa impasto;
10/04/26;L2;T2;9600;7474;7405;10,9;69;100,0;77,9;99,1;77,1;0;;
11/04/26;L1;T1;14400;11734;11591;22,1;143;90,6;89,9;98,8;80,5;45;microfermate / inceppo film;
11/04/26;L1;T2;14400;10175;9806;50,8;369;99,0;71,4;96,4;68,1;5;guasto minore;
11/04/26;L2;T1;9600;7174;6992;32,7;182;94,8;78,8;97,5;72,8;25;pulizia straordinaria;
11/04/26;L2;T2;9600;6496;6274;28,6;222;100,0;67,7;96,6;65,4;0;;
TOT SETT 15;;;;222.401;;;4835;;;;;;;(subtotale da tab. pivot, non cancellare - L.T.)
13/04/26;L1;T1;14400;10844;10467;42,3;377;96,9;77,7;96,5;72,7;15;attesa impasto;
13/04/26;L1;T2;14400;11438;11089;43,6;349;87,5;90,8;96,9;77,0;60;microfermate / inceppo film;
13/04/26;L2;T1;9600;8120;7945;22,2;175;89,6;94,4;97,8;82,8;50;pulizia straordinaria;
13/04/26;L2;T2;9600;7950;7872;21,4;78;98,3;84,2;99,0;82,0;8;pulizia straordinaria;
14/04/26;L1;T1;14400;10710;10444;30,7;266;100,0;74,4;97,5;72,5;0;;
14/04/26;L1;T2;14400;10241;9870;50,8;371;100,0;71,1;96,4;68,5;0;;
14/04/26;L2;T1;9600;7180;7074;19,9;106;89,6;83,5;98,5;73,7;50;pulizia straordinaria;
14/04/26;L2;T2;9600;8025;7798;27,5;227;87,5;95,5;97,2;81,2;60;microfermate / inceppo film;
15-apr-26;L1;T1;14400;11583;11358;26,7;225;93,8;85,8;98,1;78,9;30;pulizia straordinaria;
15-apr-26;L1;T2;14400;11463;11044;51,4;419;97,7;81,5;96,3;76,7;11;muletto;
15-apr-26;L2;T1;9600;7946;7827;25,4;119;93,8;88,3;98,5;81,5;30;microfermate / inceppo film;
15-apr-26;L2;T2;9600;6580;6422;28,9;158;100,0;68,5;97,6;66,9;0;;
16/04/26;L1;T1;14400;11239;10827;51,0;412;94,4;82,7;96,3;75,2;27;cambio formato;
16/04/26;L1;T2;14400;12304;11949;50,2;355;93,5;91,3;97,1;83,0;31;cambio bobina film;
16/04/26;L2;T1;9600;7035;6954;17,1;81;98,1;74,7;98,8;72,4;9;pulizia straordinaria;
16/04/26;L2;T2;9600;7487;7319;27,5;168;91,7;85,1;97,8;76,2;40;microfermate / inceppo film;
17/04/26;L1;T1;14400;11671;11278;52,7;393;89,6;90,5;96,6;78,3;50;microfermate / inceppo film;
17/04/26;L1;T2;14400;12285;11978;44,6;307;89,0;95,9;97,5;83,2;53;guasto minore;
17/04/26;L2;T1;9600;7842;7758;18,8;84;99,0;82,5;98,9;80,8;5;microfermate / inceppo film;
17/04/26;L2;T2;9600;7465;7315;24,3;150;90,8;85,6;98,0;76,2;44;microfermate / inceppo film;
18/04/26;L1;T1;14400;10493;10187;36,0;306;89,6;81,3;97,1;70,7;50;attesa impasto;
18/04/26;L1;T2;14400;11002;10684;42,0;318;87,5;87,3;97,1;74,2;60;attesa impasto;
18/04/26;L2;T1;9600;7997;7931;19,6;66;91,2;91,3;99,2;82,6;42;elettricista;
18/04/26;L2;T2;9600;7244;6987;30,9;257;94,8;79,6;96,5;72,8;25;microfermate / inceppo film;
TOT SETT 16;;;;226.144;;;5767;;;;;;;(subtotale da tab. pivot, non cancellare - L.T.)
20/04/26;L1;T1;14400;12027;11709;46,8;318;93,3;89,5;97,4;81,3;32;microfermate / inceppo film;
20/04/26;L1;T2;14400;11451;11237;32,2;214;89,0;89,4;98,1;78,0;53;microfermate / inceppo film;
20/04/26;L2;T1;9600;8371;8211;26,5;160;96,9;90,0;98,1;85,5;15;microfermate / inceppo film;
20/04/26;L2;T2;9600;7492;7297;30,2;195;93,8;83,2;97,4;76,0;30;microfermate / inceppo film;
21/04/26;L1;T1;14400;11897;11735;19,1;162;84,4;97,9;98,6;81,5;75;microfermate / inceppo film;
21/04/26;L1;T2;14400;10932;10528;49,6;404;97,9;77,5;96,3;73,1;10;pulizia straordinaria;
21/04/26;L2;T1;9600;6604;6448;27,0;156;93,8;73,4;97,6;67,2;30;guasto minore;
21/04/26;L2;T2;9600;7336;7133;30,5;203;81,2;94,1;97,2;74,3;90;microfermate / inceppo film;
22/04/26;L1;T1;14400;10688;10396;33,7;292;96,9;76,6;97,3;72,2;15;guasto minore;
22/04/26;L1;T2;14400;10839;10609;32,2;230;92,7;81,2;97,9;73,7;35;boh;
22/04/26;L2;T1;9600;6841;6699;19,8;142;92,1;77,4;97,9;69,8;38;cambio formato;
22/04/26;L2;T2;9600;7041;6867;20,8;174;87,5;83,8;97,5;71,5;60;carta forno finita;
23/04/26;L1;T1;14400;10051;9834;33,7;217;87,5;79,8;97,8;68,3;60;microfermate / inceppo film;
23/04/26;L1;T2;14400;11913;11662;32,9;251;96,2;86,0;97,9;81,0;18;cambio formato;
23/04/26;L2;T1;9600;7609;7452;23,3;157;91,7;86,5;97,9;77,6;40;boh;
23/04/26;L2;T2;9600;7132;7015;25,4;117;96,9;76,7;98,4;73,1;15;attesa muletto;
24/04/26;L1;T1;14400;11372;11053;38,6;319;83,8;94,3;97,2;76,8;78;cambio formato;
24/04/26;L1;T2;14400;10739;10357;43,9;382;94,0;79,4;96,4;71,9;29;microfermate / inceppo film;
24/04/26;L2;T1;9600;7114;6973;27,6;141;95,8;77,3;98,0;72,6;20;cambio bobina film;
24/04/26;L2;T2;9600;6885;6739;24,1;146;96,9;74,0;97,9;70,2;15;guasto minore;
25/04/26;L1;T1;0;0;0;0,0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;cambio formato;festivo - stabilimento chiuso;
25/04/26;L2;T1;0;0;0;0,0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;cambio bobina;festivo;
2026-04-26;L2;T1;9600;6753;6624;26,8;129;88,0;80,0;carta forno finita,1;69,0;57;attesa impasto;turno domenicale promo Tosano volantino
2026-04-26;L2;T2;9600;8070;7932;27,0;138;91,8;91,5;guasto minore,3;82,6;39;mancanza personale;turno domenicale promo Tosano volantino
TOT SETT 17;;;;199.157;;;4647;;;;;;;(subtotale da tab. pivot, non cancellare - L.T.)
27/04/26;L1;T1;14400;12227;12075;29,1;152;92,1;92,2;98,8;83,9;38;microfermate / inceppo film;
27/04/26;L1;T2;14400;11832;11723;22,5;109;93,8;87,6;99,1;81,4;30;microfermate / inceppo film;
27/04/26;L2;T1;9600;7243;7057;29,1;186;92,7;81,4;97,4;73,5;35;guasto minore;
27/04/26;L2;T2;9600;7538;7452;15,5;86;84,4;93,1;98,9;77,6;75;mancanza personale;
28/04/26;L1;T1;14400;11102;10856;28,9;246;94,8;81,3;97,8;75,4;25;microfermate / inceppo film;
28/04/26;L1;T2;14400;10685;10482;29,9;203;97,9;75,8;98,1;72,8;10;cambio bobina film;
28/04/26;L2;T1;9600;8331;8226;23,6;105;93,8;92,6;98,7;85,7;30;cambio bobina film;
28/04/26;L2;T2;9600;7041;6820;33,7;221;81,2;90,3;96,9;71,0;90;cambio formato;
29/04/26;L1;T1;14400;11551;11231;46,6;320;91,7;87,5;97,2;78,0;40;attesa impasto;
29/04/26;L1;T2;14400;12078;11984;16,4;94;91,7;91,5;99,2;83,2;40;microfermate / inceppo film;
29/04/26;L2;T1;9600;6631;6581;15,6;50;87,9;78,6;99,2;68,6;58;attesa impasto;
29/04/26;L2;T2;9600;6618;6512;13,3;106;94,8;72,7;98,4;67,8;25;attesa impasto;manca personale (dimissioni), ritmo ridotto
30/04/26;L1;T1;14400;11948;11599;45,2;349;94,0;88,3;97,1;80,5;29;microfermate / inceppo film;
30/04/26;L1;T2;14400;10670;10415;37,8;255;84,2;88,0;97,6;72,3;76;muletto;
30/04/26;L2;T1;9600;7665;7483;30,4;182;95,8;83,3;97,6;77,9;20;fermo x pulizia (non programmata);
30/04/26;L2;T2;9600;7557;7486;20,9;71;87,5;90,0;99,1;78,0;60;pulizia straordinaria;
Data;Linea;Turno;Pz_teorici;Pz_prodotti;Pz_conformi;Scarto_pasta_kg;Scarto_prodotto_pz;Disponibilita_%;Performance_%;Qualita_%;OEE_%;Fermi_min;pulizia straordinaria;Note
01/05/26;L1;T1;0;0;0;0,0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;mancanza personale;festivo - stabilimento chiuso;
01/05/26;L2;T1;0;0;0;0,0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;attesa impasto;festivo;
02/05/26;L1;T1;14400;10983;10709;32,0;274;94,8;80,5;97,5;74,4;25;cambio bobina film;
02/05/26;L1;T2;14400;12260;12172;20,0;88;92,3;92,2;99,3;84,5;37;elettricista;
02/05/26;L2;T1;9600;6845;6636;30,8;209;94,8;75,2;96,9;69,1;25;microfermate / inceppo film;
02/05/26;L2;T2;9600;8245;7953;41,5;292;96,2;89,2;96,5;82,8;18;microfermate / inceppo film;
03/05/26;L2;T1;9600;7689;7491;32,1;198;100,0;80,1;97,4;78,0;0;;turno domenicale promo Tosano volantino
03/05/26;L2;T2;9600;7143;6916;30,4;227;99,0;75,2;96,8;72,0;5;cambio formato;turno domenicale promo Tosano volantino
TOT SETT 18;;;;203.882;;;4023;;;;;;;(subtotale da tab. pivot, non cancellare - L.T.)
04/05/26;L1;T1;14400;12292;11964;40,0;328;92,7;92,1;97,3;83,1;35;guasto minore;
04/05/26;L1;T2;14400;10475;10215;32,8;260;96,2;75,6;97,5;70,9;18;microfermate / inceppo film;
04/05/26;L2;T1;9600;7093;6994;20,3;99;80,6;91,7;98,6;72,9;93;guasto minore;
04/05/26;L2;T2;9600;7484;7258;29,8;226;100,0;78,0;97,0;75,6;0;;
05/05/26;L1;T1;14400;10796;10481;36,7;315;91,7;81,8;97,1;72,8;40;cambio bobina film;
05/05/26;L1;T2;14400;10986;10858;19,9;128;95,8;79,6;98,8;75,4;20;microfermate / inceppo film;
05/05/26;L2;T1;9600;7324;7051;39,7;273;92,7;82,3;96,3;73,4;35;mancanza personale;
05/05/26;L2;T2;9600;7278;7128;26,5;150;93,8;80,9;97,9;74,2;30;cambio formato;
06/05/26;L1;T1;14400;11178;10771;50,7;407;91,2;85,1;96,4;74,8;42;cambio bobina film;
06/05/26;L1;T2;14400;10810;10641;25,8;169;100,0;75,1;98,4;73,9;0;;
06/05/26;L2;T1;9600;7461;7278;22,0;183;87,5;88,8;97,5;75,8;60;microfermate / inceppo film;
06/05/26;L2;T2;9600;8267;8010;35,7;257;89,6;96,1;96,9;83,4;50;cambio bobina film;
07/05/26;L1;T1;14400;11259;11054;24,5;205;95,4;81,9;98,2;76,8;22;cambio formato;
07/05/26;L1;T2;14400;10506;10251;37,7;255;94,2;77,5;97,6;71,2;28;microfermate / inceppo film;
07/05/26;L2;T1;9600;7424;7331;22,2;93;96,9;79,8;98,7;76,4;15;attesa impasto;
07/05/26;L2;T2;9600;7767;7525;27,7;242;97,7;82,8;96,9;78,4;11;attesa impasto;
08/05/26;L1;T1;14400;11295;11201;12,3;94;87,5;89,6;99,2;77,8;60;microfermate / inceppo film;
08/05/26;L1;T2;14400;11567;11221;44,0;346;90,6;88,6;97,0;77,9;45;attesa impasto;perdita azoto PKM-450 - segnalato Dal Maso, si continua cosi fino a ricambio (15/05)
08/05/26;L2;T1;9600;6705;6541;22,3;164;89,6;78,0;97,6;68,1;50;microfermate / inceppo film;
08/05/26;L2;T2;9600;7177;6912;29,9;265;96,5;77,5;96,3;72,0;17;pulizia straordinaria;manca personale (dimissioni), ritmo ridotto
09/05/26;L1;T1;14400;11208;11021;31,6;187;95,4;81,6;98,3;76,5;22;attesa impasto;
09/05/26;L1;T2;14400;10640;10400;35,8;240;93,3;79,2;97,7;72,2;32;attesa muletto;
09/05/26;L2;T1;9600;7166;7093;14,1;73;89,6;83,3;99,0;73,9;50;pulizia straordinaria;
09/05/26;L2;T2;9600;7800;7660;19,1;140;93,8;86,7;98,2;79,8;30;pulizia straordinaria;
10/05/26;L1;T1;14400;11848;11682;21,1;166;94,8;86,8;98,6;81,1;25;cambio bobina film;domenica - recupero ordini Tosano sottocosto
