LETTURE CONTATORI DI REPARTO - MAGGIO 2026 - fornitore: Veneta Energia S.p.A. (F0081) - a cura L.Trentin;;;;;;;;;
Data;Centro_costo;kWh_F1;kWh_F2;kWh_F3;kWh_tot;m3_metano;Costo_unit_EUR;Costo_tot_EUR;Note
01/05/26;FORNI FT-01/FT-02;89;64;41;194;178;0,182;35,37;
01/05/26;CELLA FRIGO CF-01;102;73;47;222;;0,182;40,39;
01/05/26;CELLA SURGELATI CF-02;203;145;93;441;;0,182;80,19;
01/05/26;COMPRESSORI ARIA;33;24;15;73;;0,182;13,20;
2026-05-01;CIP-01 / LAVAGGI;10;7;5;22;;0,182;4,00;
01/05/26;UFFICI/SERVIZI;8;6;4;18;;0,182;3,28;
02/05/26;FORNI FT-01/FT-02;684;490;312;1.486;929;0,182;270,50;
02/05/26;CELLA FRIGO CF-01;101;73;46;220;;0,182;40,11;
02/05/26;CELLA SURGELATI CF-02;191;137;87;415;;0,182;75,52;
02/05/26;COMPRESSORI ARIA;146;105;67;318;;0,182;57,83;
02/05/26;CIP-01 / LAVAGGI;69;49;31;149;;0,182;27,15;
02/05/26;UFFICI/SERVIZI;57;41;26;124;;0,182;22,58;
03/05/26;FORNI FT-01/FT-02;689;494;315;1.498;1012;0,182;272,65;
2026-05-03;CELLA FRIGO CF-01;103;74;47;224;;0,182;40,82;
03/05/26;CELLA SURGELATI CF-02;178;128;81;388;;0,182;70,58;
03/05/26;COMPRESSORI ARIA;168;120;76;364;;0,182;66,30;
03/05/26;CIP-01 / LAVAGGI;73;53;33;159;;0,182;29,00;
03/05/26;UFFICI/SERVIZI;51;36;23;110;;0,182;20,11;
04/05/26;FORNI FT-01/FT-02;696;500;318;1.513;953;0,182;275,52;
04/05/26;CELLA FRIGO CF-01;100;72;46;217;;0,182;39,54;
04/05/26;CELLA SURGELATI CF-02;195;140;89;424;;0,182;77,11;
04/05/26;COMPRESSORI ARIA;144;104;66;314;;0,182;57,10;
2026-05-04;CIP-01 / LAVAGGI;66;47;30;144;;0,182;26,15;
04/05/26;UFFICI/SERVIZI;55;40;25;120;;0,182;21,84;
05/05/26;FORNI FT-01/FT-02;639;458;292;1.388;1051;0,182;252,76;
05/05/26;CELLA FRIGO CF-01;91;66;42;199;;0,182;36,16;
05/05/26;CELLA SURGELATI CF-02;182;131;83;396;;0,182;72,14;
05/05/26;COMPRESSORI ARIA;167;120;76;362;;0,182;65,92;
05/05/26;CIP-01 / LAVAGGI;65;47;30;142;;0,182;25,78;
05/05/26;UFFICI/SERVIZI;53;38;24;116;;0,182;21,06;
06/05/26;FORNI FT-01/FT-02;649;465;296;1.410;1007;0,182;256,69;
2026-05-06;CELLA FRIGO CF-01;97;69;44;210;;0,182;38,26;
06/05/26;CELLA SURGELATI CF-02;205;147;94;445;;0,182;81,08;
06/05/26;COMPRESSORI ARIA;162;116;74;353;;0,182;64,25;
06/05/26;CIP-01 / LAVAGGI;65;47;30;142;;0,182;25,83;
06/05/26;UFFICI/SERVIZI;52;37;24;112;;0,182;20,45;
07/05/26;FORNI FT-01/FT-02;666;478;304;1.448;911;0,182;263,64;
07/05/26;CELLA FRIGO CF-01;99;71;45;214;;0,182;38,97;
07/05/26;CELLA SURGELATI CF-02;181;130;83;394;;0,182;71,74;
07/05/26;COMPRESSORI ARIA;147;105;67;319;;0,182;58,12;
2026-05-07;CIP-01 / LAVAGGI;70;50;32;152;;0,182;27,60;
07/05/26;UFFICI/SERVIZI;53;38;24;115;;0,182;21,02;
08/05/26;FORNI FT-01/FT-02;631;453;288;1.372;878;0,182;249,81;
08/05/26;CELLA FRIGO CF-01;97;70;44;211;;0,182;38,33;
08/05/26;CELLA SURGELATI CF-02;266;191;121;578;;0,182;105,29;assorbimento in salita da stanotte?
08/05/26;COMPRESSORI ARIA;157;112;72;341;;0,182;62,02;
08/05/26;CIP-01 / LAVAGGI;66;47;30;143;;0,182;26,04;
08/05/26;UFFICI/SERVIZI;57;41;26;125;;0,182;22,72;
09/05/26;FORNI FT-01/FT-02;694;498;317;1.509;1001;0,182;274,64;
2026-05-09;CELLA FRIGO CF-01;90;64;41;195;;0,182;35,49;
09/05/26;CELLA SURGELATI CF-02;274;197;125;596;;0,182;108,43;
09/05/26;COMPRESSORI ARIA;163;117;75;355;;0,182;64,67;
09/05/26;CIP-01 / LAVAGGI;70;50;32;153;;0,182;27,77;
09/05/26;UFFICI/SERVIZI;53;38;24;115;;0,182;20,99;
10/05/26;FORNI FT-01/FT-02;683;490;312;1.484;901;0,182;270,09;fermo confezionatrice pomeriggio ma forni rimasti in temperatura (spreco)
10/05/26;CELLA FRIGO CF-01;100;72;46;218;;0,182;39,60;
10/05/26;CELLA SURGELATI CF-02;285;204;130;620;;0,182;112,78;
10/05/26;COMPRESSORI ARIA;155;111;71;337;;0,182;61,25;
2026-05-10;CIP-01 / LAVAGGI;74;53;34;160;;0,182;29,09;
10/05/26;UFFICI/SERVIZI;58;42;27;126;;0,182;22,99;
SUBTOT decade;;;;;;;;#RIF!;(formula rotta, rifare)
11/05/26;FORNI FT-01/FT-02;640;459;292;1.391;984;0,182;253,34;
11/05/26;CELLA FRIGO CF-01;97;70;44;211;;0,182;38,36;
11/05/26;CELLA SURGELATI CF-02;264;189;121;574;;0,182;104,49;
11/05/26;COMPRESSORI ARIA;154;110;70;334;;0,182;60,85;
11/05/26;CIP-01 / LAVAGGI;66;48;30;144;;0,182;26,29;
11/05/26;UFFICI/SERVIZI;52;38;24;114;;0,182;20,71;
12/05/26;FORNI FT-01/FT-02;624;447;285;1.355;976;0,182;246,74;
2026-05-12;CELLA FRIGO CF-01;95;68;43;206;;0,182;37,52;
12/05/26;CELLA SURGELATI CF-02;270;194;123;588;;0,182;107,01;compressore CF-02 spunti anomali - vedi manutenzione (OdL-26-0175)
12/05/26;COMPRESSORI ARIA;162;116;74;351;;0,182;63,91;
12/05/26;CIP-01 / LAVAGGI;69;49;31;149;;0,182;27,16;
12/05/26;UFFICI/SERVIZI;57;41;26;123;;0,182;22,36;
13/05/26;FORNI FT-01/FT-02;643;461;294;1.397;951;0,182;254,41;
13/05/26;CELLA FRIGO CF-01;98;71;45;214;;0,182;38,91;
13/05/26;CELLA SURGELATI CF-02;297;213;135;645;;0,182;117,37;
13/05/26;COMPRESSORI ARIA;160;115;73;347;;0,182;63,20;
2026-05-13;CIP-01 / LAVAGGI;71;51;32;154;;0,182;27,96;
13/05/26;UFFICI/SERVIZI;52;37;24;112;;0,182;20,45;
