Strumento;Matricola;Ubicazione;Classe/Portata;Ultima_taratura;Prossima_scadenza;Ente_taratura;N_certificato;Esito;Incertezza_dichiarata;Stato;Note
Termometro a sonda Testo 926;TS-001;Linea 1 - zona forno FT-01;-50/+400 °C;12/01/2026;12/01/2027;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00412;Conforme;±0,3 °C;IN USO;
Termometro a sonda Testo 926;TS-002;Linea 1 - uscita PT-104;-50/+400 °C;12/01/2026;12/01/2027;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00413;Conforme;±0,3 °C;IN USO;strumento di riferimento verifica CCP2
Termometro a sonda Testo 926;TS-003;Linea 2 - cella lievitazione;-50/+400 °C;2026-01-12;2027-01-12;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00414;Conforme;±0,3 °C;IN USO;
Termometro a sonda Testo 926;TS-004;Linea 3 - uscita TS-01;-50/+400 °C;12/01/26;12/01/27;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00415;Conforme;±0,4 °C;IN USO;
Termometro a sonda Testo 926;TS-005;Laboratorio QC;-50/+400 °C;12/01/2026;12/01/2027;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00416;Conforme;±0,3 °C;IN USO;riferimento per tarature interne
Termometro a sonda Testo 106;TS-006;Ricevimento merci;-50/+275 °C;03/02/2026;03/02/2027;taratura interna (Pozzato S.) vs TS-005;INT-2026-011;Conforme;±0,5 °C;IN USO;
Termometro a sonda Testo 106;TS-007;Ricevimento merci;-50/+275 °C;03/02/2026;03/02/2027;taratura interna (Pozzato S.) vs TS-005;INT-2026-012;Conforme;±0,5 °C;IN USO;
Termometro a sonda Testo 106;TS-008;Spedizioni - controllo T carico;-50/+275 °C;03/02/2026;2027-02-03;taratura interna (Pozzato S.) vs TS-005;INT-2026-013;Conforme;±0,5 °C;IN USO;
Termometro a sonda Testo 106;TS-009;Linea 2 - impasti;-50/+275 °C;03/02/2026;03/02/2027;taratura interna (Pozzato S.) vs TS-005;INT-2026-014;Conforme;±0,6 °C;IN USO;
Termometro a sonda Testo 106;TS-010;Linea 1 - impasti;-50/+275 °C;10-feb-26;10-feb-27;taratura interna (Pozzato S.) vs TS-005;INT-2026-015;Conforme;±0,5 °C;IN USO;
Termometro a sonda Testo 106;TS-011;Magazzino Via Palù;-50/+275 °C;15/09/2025;15/03/2026;taratura interna (Pozzato S.) vs TS-005;INT-2025-098;Conforme;±0,5 °C;SCADUTO;SCADUTA - usare in attesa di sostituzione??? chiesto a Marchetti il 20/04, nessuna risposta
Termometro a sonda Testo 106;TS-012;Linea 3 - controllo cuore prodotto;-50/+275 °C;03/02/2026;03/02/2027;taratura interna (Pozzato S.) vs TS-005;INT-2026-016;Conforme;±0,5 °C;IN USO;usato per verifica CCP4
Termometro a sonda Hanna Checktemp;TS-013;Laboratorio QC - scorta;-50/+220 °C;;;;;;;DISMESSO;puntale piegato, in attesa smaltimento
Termometro a sonda Testo 106;TS-014;Linea 2 - uscita forno FT-02;-50/+275 °C;03/02/2026;03/02/2027;taratura interna (Pozzato S.) vs TS-005;INT-2026-017;Conforme;±0,5 °C;IN USO;
Termometro IR pistola Fluke 62 MAX;TS-015;Manutenzione - officina;-30/+500 °C;20/03/2026;20/03/2027;taratura interna (Pozzato S.) vs TS-005;INT-2026-031;Conforme;±1,5 °C;IN USO;solo indicativo, NON per registrazioni CCP
Datalogger temperatura PT-104;DL-001;PT-104 Linea 1 - canale 1 (cuore prodotto);4 canali Pt100 -100/+250 °C;28/11/2025;28/11/2026;CalService Italia S.r.l. (Modena) LAT 087;CS-25-7741;Conforme;±0,15 °C;IN USO;registrazione automatica CCP2
Datalogger temperatura PT-104;DL-002;PT-104 Linea 1 - canale 2 (camera);4 canali Pt100 -100/+250 °C;28/11/2025;28/11/2026;CalService Italia S.r.l. (Modena) LAT 087;CS-25-7742;Conforme;±0,15 °C;IN USO;
Datalogger temperatura PT-104;DL-003;PT-104 Linea 1 - canale 3 (camera);4 canali Pt100 -100/+250 °C;28/11/2025;2026-11-28;CalService Italia S.r.l. (Modena) LAT 087;CS-25-7743;Conforme;±0,2 °C;IN USO;
Datalogger temperatura PT-104;DL-004;PT-104 Linea 1 - canale 4 (riserva);4 canali Pt100 -100/+250 °C;28/11/2025;28/11/2026;CalService Italia S.r.l. (Modena) LAT 087;CS-25-7744;Conforme;±0,2 °C;IN USO;canale di riserva, sonda in cassetto quadro
Datalogger USB Testo 174T;DL-005;Cella CF-01;-30/+70 °C;14/01/2026;14/01/2027;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00488;Conforme;±0,4 °C;IN USO;
Datalogger USB Testo 174T;DL-006;Cella CF-02;-30/+70 °C;14/01/2026;14/01/2027;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00489;Conforme;±0,4 °C;IN USO;
Datalogger USB Testo 174T;DL-007;Furgone campionature;-30/+70 °C;14/01/2026;14/01/27;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2026-00490;Conforme;±0,5 °C;IN USO;
Datalogger USB Testo 174T;DL-008;Magazzino Via Palù - cella surgelati;-30/+70 °C;10/10/2025;10/04/2026;MetroLab Taratura S.r.l. (Padova) LAT 214;ML-2025-03317;Conforme;±0,5 °C;SCADUTO;SCADUTA - ordine taratura fatto? Trentin dice che il preventivo è fermo in amministrazione
Bilancia di linea Pakmatic integrata;BL-001;Linea 1 - PKM-450 controllo peso;0-3 kg div. 0,1 g;07/01/2026;07/07/2026;TecnoBilance Verona S.n.c.;TB-26-0112;Conforme;±0,2 g;IN USO;taratura semestrale come da capitolato Tosano
Bilancia di linea a nastro;BL-002;Linea 1 - uscita confezionamento;0-6 kg div. 0,5 g;07/01/2026;07/07/2026;TecnoBilance Verona S.n.c.;TB-26-0113;Conforme;±0,5 g;IN USO;
Bilancia di linea a nastro;BL-003;Linea 3 - pesatura cartoni;0-30 kg div. 5 g;07/01/2026;07/07/2026;TecnoBilance Verona S.n.c.;TB-26-0114;Conforme;±5 g;IN USO;
Bilancia dosaggio impasti;BL-004;Linea 1 - IMP zona impasti;0-150 kg div. 20 g;07/01/2026;07/07/2026;TecnoBilance Verona S.n.c.;TB-26-0115;Conforme;±20 g;IN USO;
Bilancia dosaggio impasti;BL-005;Linea 2 - IMP-300;0-300 kg div. 50 g;07/01/2026;2026-07-07;TecnoBilance Verona S.n.c.;TB-26-0116;Conforme;±50 g;IN USO;
