UniCredit S.p.A. - Elenco movimenti conto corrente ordinario;;;;;
Rapporto: IT33W0200859870000104882913 - AURORA FOOD GROUP S.R.L. - VIA DELL'INDUSTRIA 27 COLOGNA VENETA;;;;;
Periodo: 01/05/2026 - 31/05/2026;Divisa: EUR;Estrazione del 03/06/2026 09:41;;;
;;;;;
Data contabile;Data valuta;Descrizione operazione;Dare €;Avere €;Saldo progressivo €
;;SALDO INIZIALE AL 30/04/2026;;;41.318,66
02/05/26;02/05/26;SEPA DD VENETA ENERGIA SPA MAND.VE2026-00448 EN.ELETTRICA APRILE POD IT001E984412;28.440,12;;12.878,54
02/05/26;02/05/26;COMMISSIONI € SEPA DD;1,00;;12.877,54
02/05/26;02/05/26;IMPOSTA DI BOLLO E/C DPR 642/72;100,00;;12.777,54
04/05/26;02/05/26;CANONE MENSILE CONTO IMPRESA TOP;38,50;;12.739,04
04/05/26;04/05/26;BON. SEPA DA ROSSETTO TRADE SPA FATT 2026/201 SALDO 60GG;;18.640,00;31.379,04
04/05/26;30/04/26;PAG. RIBA SCAD. 30/04 BENEF. LATTERIA BASSANESE SOC.COOP.;11.407,65;;19.971,39
04/05/26;30/04/26;PAG. RIBA SCAD. 30/04 BENEF. LATTERIA BASSANESE SOC.COOP.;11.407,65;;8.563,74
04/05/26;30/04/26;PAG. RIBA SCAD. 30/04 BENEF. ZUCCHERIFICIO PADANO SRL;9.870,00;;-1.306,26
04/05/26;30/04/26;PAG. RIBA SCAD. 30/04 BENEF. FLEXIPACK NORDEST SRL;15.610,22;;-16.916,48
04/05/26;30/04/26;PAG. RIBA SCAD. 30/04 BENEF. FLEXIPACK NORDEST SRL;15.610,23;;-32.526,71
04/05/26;04/05/26;COMMISSIONI € RIBA PASSIVE N.5 EFFETTI;7,50;;-32.534,21
05/05/26;05/05/26;BON. SEPA DA ALI SPA PADOVA FATT 2026/171-172 SALDO 60GG;;24.310,00;-8.224,21
05/05/26;05/05/26;PAGAMENTO POS 04/05 ESSO COLOGNA V. CARTA *4471;120,00;;-8.344,21
05/05/26;05/05/26;BONIFICO A STUDIO BONATO E PARTNERS RSPP CANONE 1SEM 2026;1.830,00;;-10.174,21
05/05/26;05/05/26;SEPA DD TIM SPA CANONE APRILE;486,20;;-10.660,41
05/05/26;05/05/26;PAGAMENTO POS 04/05 FERRAMENTA DALLA VALLE COLOGNA V.;89,90;;-10.750,31
05/05/26;05/05/26;SEPA DD RENTOKIL INITIAL ITALIA SPA PEST CONTROL CANONE TRIM.;1.140,00;;-11.890,31
05/05/26;05/05/26;BONIFICO A SICUREZZAPIU SRL DPI GUANTI CUFFIE CAMICI FT 208/26;1.480,00;;-13.370,31
06/05/26;06/05/26;BONIFICO A ANALYTICA VENETA SRL FT 887/26 ANALISI MICROBIOL. E SHELF LIFE;2.140,00;;-15.510,31
06/05/26;05/05/26;PAG. RIBA SCAD. 05/05 BENEF. LIEVITAL SRL;4.512,80;;-20.023,11
06/05/26;05/05/26;PAG. RIBA SCAD. 05/05 BENEF. CHEMIFOOD ITALIA SRL;6.238,50;;-26.261,61
06/05/26;06/05/26;COMMISSIONI € RIBA PASSIVE N.2 EFFETTI;3,00;;-26.264,61
06/05/26;06/05/26;BON. SEPA DA VALGROSS SPA FATT 2026/205 HORECA;;5.230,00;-21.034,61
07/05/26;07/05/26;VERSAMENTO CONTANTI ATM EVOLUTO FIL.COLOGNA VENETA;;500,00;-20.534,61
07/05/26;07/05/26;BON. SEPA DA FAMILA NORDEST FATT 2026/175 SALDO 60GG;;15.870,00;-4.664,61
07/05/26;07/05/26;SEPA DD NORDGAS SPA CANONE SERBATOIO + FORNITURE APRILE;7.912,34;;-12.576,95
07/05/26;07/05/26;DISPOSIZIONE A FAVORE DHL EXPRESS ITALY SRL;74,40;;-12.651,35
