INVENTARIO FISICO MAGAZZINI AL 31/05/2026 - logica FEFO - estratto gestionale + conta manuale;;;;;;;;;;;;
compilato: Faggionato N. + Trentin L. (valorizzazione);ultimo agg. 01/06/26 h 7.40;;;;;;;;;;;
Ubicazione;Cod_Art;Descrizione;Lotto;Data_arrivo;Scadenza/TMC;Giacenza;UM;Valore_unit_€;Valore_tot_€;Stato;gg_alla_scadenza;Note
A-01-01;FAR-0-W300;Farina tipo 0 W300 sacco 25 kg;MV26-0402/B;2026-04-14;20/10/26;1.250;KG;0,52;650,00;OK;142;usare per prima - FEFO
A-01-02;FAR-0-W300;Farina tipo 0 W300 sacco 25 kg;MV26-0429/A;04/05/26;30/10/26;3.975;KG;0,52;2.067,00;OK;152;1 sacco segregato (lacerato) v. riga sotto
A-01-02;FAR-0-W300;Farina tipo 0 W300 sacco 25 kg - SEGREGATO;MV26-0430/A;04/05/26;01/11/26;25;KG;0,52;13,00;SEGREGATO;154;sacco rotto DDT 48392 - verificare con Marchetti prima di usare
A-01-03;FAR-0-W300;Farina tipo 0 W300 sacco 25 kg;MV26-0429/B;04/05/26;30/10/26;2.000;KG;0,52;1.040,00;OK;152;
A-01-04;FAR-0-W300;Farina tipo 0 W300 sacco 25 kg;MV26-0430/A;04/05/26;01/11/26;3.900;KG;0,52;2.028,00;OK;154;
A-01-05;FAR-0-W300;Farina tipo 0 W300 sacco 25 kg;MV26-0431/A;04/05/26;02/11/26;2.000;KG;0,52;1.040,00;OK;155;
A-01-06;FAR-0-W300;Farina tipo 0 W300 sacco 25 kg;MV26-0432/A;04/05/26;03/11/26;2.000;KG;0,52;1.040,00;OK;156;
A-02-01;FAR-00;Farina tipo 00 sacco 25 kg;MV26-0388/A;2026-04-02;15/09/26;875;KG;0,55;481,25;OK;107;
A-02-02;FAR-00;Farina tipo 00 sacco 25 kg;MV26-0411/C;21/04/26;05/10/26;1.500;KG;0,55;825,00;OK;127;
A-02-03;FAR-SEM;Semola rimacinata sacco 25 kg;MV26-0355/A;19/03/26;30/06/26;450;KG;0,61;274,50;IN SCADENZA;30;solo focacceria - smaltire in produzione
A-03-01;FAR-0-BIO;Farina tipo 0 BIO sacco 25 kg;MV26-B-0091;2026-04-28;10/10/26;600;KG;0,74;444,00;OK;132;linea bio AF-CR-0220 - cert ICEA
A-03-02;FAR-MULTI;Mix multicereali sacco 20 kg;MX26-0177;15/04/26;20/07/26;720;KG;0,89;640,80;IN SCADENZA;50;x AF-SN-0450
A-03-03;FAR-MULTI;Mix multicereali sacco 20 kg;MX26-0201;12/05/26;10/08/26;1.400;KG;0,89;1.246,00;OK;71;
A-04-01;MALTO-D;Malto diastasico sacco 10 kg;LV26-M-044;10/03/26;10/03/27;180;KG;2,20;396,00;OK;283;
A-04-02;GLUT-V;Glutine vitale sacco 25 kg;GV26-018;22/04/26;22/04/27;350;KG;1,95;682,50;OK;;gg non calcolati
B-01-01;ZUC-SEM;Zucchero semolato sacco 50 kg;ZP26-1104;2026-03-30;N/D;2.850;KG;0,68;1.938,00;OK;;TMC non applicabile
B-01-02;ZUC-SEM;Zucchero semolato sacco 50 kg;ZP26-1140;05/05/26;N/D;4.000;KG;0,68;2.720,00;OK;;
B-01-03;DESTR;Destrosio monoidrato sacco 25 kg;ZP26-D-0872;05/05/26;05/05/28;500;KG;0,92;460,00;OK;704;
B-02-01;SALE-F;Sale fino alimentare sacco 25 kg;SA26-220;18/02/26;;1.100;KG;0,18;198,00;OK;;senza scadenza
B-02-02;SALE-MAR;Sale marino grosso (topping) sacco 10 kg;SA26-198;18/02/26;;240;KG;0,31;74,40;OK;;
B-03-01;OLIO-AO;Olio girasole alto oleico cisternetta 1000 L;OA26-0510;27/04/26;27/01/27;1.840;KG;1,86;3.422,40;OK;241;prezzo vecchio - dal 01/06 nuovo listino +11% (v. ordini)
B-03-02;OLIO-AO;Olio girasole alto oleico cisternetta 1000 L;OA26-0533;19/05/26;19/02/27;2.000;KG;1,86;3.720,00;OK;264;
B-03-03;OLIO-EVO;Olio extravergine oliva latta 5 L;EV25-889;10/11/25;30/06/26;185;KG;7,10;1.313,50;IN SCADENZA;30;x AF-FC-0330 - priorita FEFO
B-04-01;SEMI-GIR;Semi di girasole sacco 25 kg;SG26-076;2026-03-12;12/09/26;625;KG;1,42;887,50;OK;104;
B-04-02;SEMI-ZUC;Semi di zucca sacco 25 kg;SZ26-041;12/03/26;30/06/26;180;KG;3,85;693,00;IN SCADENZA;30;lotto piccolo - finire su promo
B-04-03;SEMI-LINO;Semi di lino sacco 25 kg;SL25-233;2025-10-20;15/04/26;75;KG;1,60;120,00;SCADUTO - DA SMALTIRE;-46;SMALTIRE - richiesta smaltimento aperta con Marchetti
B-04-04;SEMI-SES;Semi di sesamo sacco 25 kg;SS26-102;08/04/26;08/10/26;250;KG;2,30;575,00;OK;130;ALLERGENE - solo prototipo AF-SN-0470 - area segregata
B-04-05;SEMI-GIR;Semi di girasole sacco 25 kg;SG26-118;20/05/26;20/11/26;1.000;KG;1,42;1.420,00;OK;173;
B-05-01;LIEV-DIS;Lievito secco disidratato ct 20x500 g;LV26-D-310;14/04/26;14/04/27;140;KG;6,20;868,00;OK;318;
B-05-02;MIGL-PANE;Miglioratore panificazione sacco 25 kg;IM26-055;03/03/26;03/09/26;275;KG;3,40;935,00;OK;95;
B-05-03;EMUL-E471;Emulsionante E471 sacco 25 kg;EM26-029;03/03/26;03/03/27;150;KG;4,15;622,50;OK;276;
CF-01-R1;BURRO-82;Burro 82% mg placca 25 kg;LB26-0455;12/05/26;12/08/26;1.375;KG;7,80;10.725,00;OK;73;ALLERGENE LATTE - cella +4
