ATTENZIONE: revisione 2 - SUPERATA dal 01/03/2026 - tenuta solo per storico (S.B.);;;;;;;;;;;;;;;;;
LISTINO CANALE GDO+FRESCO — rev.3 del 12/01/2026 (agg. L.Trentin — NON girare ai clienti, versione interna con costi);;;;;;;;;;;;;;;;;
Cliente;Insegna;Cod_Art;Descrizione;EAN;Pz_cartone;Prezzo_lordo;Sconto_1;Sconto_2;Prezzo_netto;SFA_%;Contributo_promo_€;Costo_industriale;Margine_€;Margine_%;Validità_dal;Validità_al;Note
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;11;0,89;2,0;0,04;0,71;0,18;20,2%;01/01/2026;31/03/2026;PL Bontà di Casa - contratto quadro
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;20;11;0,8615;2,0;0,0387;0,6873;0,1742;20,2%;01/04/2026;30/06/2026;prezzo bloccato fino a fine promo
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;20;11;0,8615;2,0;0,0387;0,6873;0,1742;20,2%;2026-07-01;2026-09-30;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;20;11;0,8615;2,0;0,0387;0,6873;0,1742;20,2%;01/10/26;31/12/26;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;PROMO Sottocosto Primavera - taglio prezzo;8034123450123;12;1,2100;20;15;0,8228;;0,0581;0,6873;0,1355;16,5%;04/05/2026;24/05/2026;accordo promo sett.19-21 volantino
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;Cornetto Premium PL Tosano 8x45g surg.;8034123452158;10;2,3716;20;6;1,7811;1,5;;1,7230;0,0581;3,3%;01/01/2026;30/06/2026;attenzione: costo industriale aggiornato solo a gennaio
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;Cornetto Premium PL Tosano 8x45g surg.;8034123452158;10;2,3716;20;6;1,7811;1,5;;1,7230;0,0581;3,3%;01/07/2026;31/12/2026;margine sotto soglia - vedi Silvia
Tosano Cerea S.p.A.;Tosano;AF-SN-0455;Snack rustico 100g formato promo 3+1;8034123454558;8;3,6300;20;4;2,7975;;0,0774;2,7491;0,0484;1,7%;01/06/2026;31/12/2026;inserimento richiesto da buyer - listing fee in trattativa (12.000?)
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;8;1,1422;2,0;0,0290;0,9099;0,2323;20,3%;01/01/2026;30/06/2026;rotazione bassa - rischio delisting sett.
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;8;1,1422;2,0;0,0290;0,9099;0,2323;20,3%;01/07/2026;31/12/2026;
Tosano Cerea S.p.A.;Tosano;AF-CR-0212;Cornetto Premium burro 6x50g surg. (marchio Aurora);8034123452127;8;3,0008;20;8;2,2070;1,5;;1,8586;0,3485;15,8%;01/01/2026;30/06/2026;
Tosano Cerea S.p.A.;Tosano;AF-CR-0212;Cornetto Premium burro 6x50g surg. (marchio Aurora);8034123452127;8;3,0008;20;8;2,2070;1,5;;1,8586;0,3485;15,8%;01/07/2026;31/12/2026;
Tosano Cerea S.p.A.;Tosano;AF-SN-0470;Snack paprika e semi - IN SVILUPPO v12;N/D;12;N/D;;;N/D;;;N/D;;#RIF!;;;solo campionatura R&D - no prezzo
;;;;;;;;;;;;;;;;;
### SIMULAZIONE richiesta buyer -4,5% (inserita da L.T. 06/05/26 su richiesta S.Bertoldi - NON E' LISTINO VALIDO);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;sim -4,5% multicereali;8034123450123;12;1,2100;20;15,0;0,8228;2,0;0,0387;0,6873;0,1355;16,5%;01/06/2026;31/12/2027;ipotesi - regge
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;sim -4,5% cornetto PL;8034123452158;10;2,3716;20;10,2;1,7037;1,5;;1,7230;-0,0194;-1,1%;01/06/2026;31/12/2027;MARGINE NEGATIVO - non sostenibile (e costo ind. e' ancora quello di gennaio, col burro attuale e' peggio)
Tosano Cerea S.p.A.;Tosano;AF-SN-0455;sim -4,5% promo 3+1;8034123454558;8;3,6300;20;8,3;2,6717;;0,0774;2,7491;-0,0774;-2,9%;01/06/2026;31/12/2027;negativo anche questo, rientra solo con volumi+contributo
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;sim -4,5% focaccina;8034123453308;10;1,5488;20;12,1;1,0938;2,0;0,0290;0,9099;0,1839;16,8%;01/06/2026;31/12/2027;regge ma poco
Tosano Cerea S.p.A.;Tosano;AF-CR-0212;sim -4,5% cornetto Aurora;8034123452127;8;3,0008;20;12,2;2,1102;1,5;;1,8586;0,2517;11,9%;01/06/2026;31/12/2027;regge
;;;;;;;;;;;;;;;;;
TOTALE TOSANO (fatturato budget 2026);;;;;;;;;3.184.000;;;;;;;;somma fatta a mano da L.T. - da riverificare
