LISTINO CANALE GDO+FRESCO — rev.3 del 12/01/2026 (agg. L.Trentin — NON girare ai clienti, versione interna con costi);;;;;;;;;;;;;;;;;
Cliente;Insegna;Cod_Art;Descrizione;EAN;Pz_cartone;Prezzo_lordo;Sconto_1;Sconto_2;Prezzo_netto;SFA_%;Contributo_promo_€;Costo_industriale;Margine_€;Margine_%;Validità_dal;Validità_al;Note
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;11;0,89;2,0;0,04;0,71;0,18;20,2%;01/01/2026;31/03/2026;PL Bontà di Casa - contratto quadro
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;11;0,89;2,0;0,04;0,71;0,18;20,2%;01/04/2026;30/06/2026;prezzo bloccato fino a fine promo
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;11;0,89;2,0;0,04;0,71;0,18;20,2%;2026-07-01;2026-09-30;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;11;0,89;2,0;0,04;0,71;0,18;20,2%;01/10/26;31/12/26;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;PROMO Sottocosto Primavera - taglio prezzo;8034123450123;12;1,25;20;15;0,85;;0,06;0,71;0,14;16,5%;04/05/2026;24/05/2026;accordo promo sett.19-21 volantino
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;Cornetto Premium PL Tosano 8x45g surg.;8034123452158;10;2,45;20;6;1,84;1,5;;1,78;0,06;3,3%;01/01/2026;30/06/2026;attenzione: costo industriale aggiornato solo a gennaio
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;Cornetto Premium PL Tosano 8x45g surg.;8034123452158;10;2,45;20;6;1,84;1,5;;1,78;0,06;3,3%;01/07/2026;31/12/2026;margine sotto soglia - vedi Silvia
Tosano Cerea S.p.A.;Tosano;AF-SN-0455;Snack rustico 100g formato promo 3+1;8034123454558;8;3,75;20;4;2,89;;0,08;2,84;0,05;1,7%;01/06/2026;31/12/2026;inserimento richiesto da buyer - listing fee in trattativa (12.000?)
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;8;1,18;2,0;0,03;0,94;0,24;20,3%;01/01/2026;30/06/2026;rotazione bassa - rischio delisting sett.
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;8;1,18;2,0;0,03;0,94;0,24;20,3%;01/07/2026;31/12/2026;
Tosano Cerea S.p.A.;Tosano;AF-CR-0212;Cornetto Premium burro 6x50g surg. (marchio Aurora);8034123452127;8;3,10;20;8;2,28;1,5;;1,92;0,36;15,8%;01/01/2026;30/06/2026;
Tosano Cerea S.p.A.;Tosano;AF-CR-0212;Cornetto Premium burro 6x50g surg. (marchio Aurora);8034123452127;8;3,10;20;8;2,28;1,5;;1,92;0,36;15,8%;01/07/2026;31/12/2026;
Tosano Cerea S.p.A.;Tosano;AF-SN-0470;Snack paprika e semi - IN SVILUPPO v12;N/D;12;N/D;;;N/D;;;N/D;;#RIF!;;;solo campionatura R&D - no prezzo
;;;;;;;;;;;;;;;;;
### SIMULAZIONE richiesta buyer -4,5% (inserita da L.T. 06/05/26 su richiesta S.Bertoldi - NON E' LISTINO VALIDO);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;sim -4,5% multicereali;8034123450123;12;1,25;20;15,0;0,85;2,0;0,04;0,71;0,14;16,5%;01/06/2026;31/12/2027;ipotesi - regge
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;sim -4,5% cornetto PL;8034123452158;10;2,45;20;10,2;1,76;1,5;;1,78;-0,02;-1,1%;01/06/2026;31/12/2027;MARGINE NEGATIVO - non sostenibile (e costo ind. e' ancora quello di gennaio, col burro attuale e' peggio)
Tosano Cerea S.p.A.;Tosano;AF-SN-0455;sim -4,5% promo 3+1;8034123454558;8;3,75;20;8,3;2,76;;0,08;2,84;-0,08;-2,9%;01/06/2026;31/12/2027;negativo anche questo, rientra solo con volumi+contributo
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;sim -4,5% focaccina;8034123453308;10;1,60;20;12,1;1,13;2,0;0,03;0,94;0,19;16,8%;01/06/2026;31/12/2027;regge ma poco
Tosano Cerea S.p.A.;Tosano;AF-CR-0212;sim -4,5% cornetto Aurora;8034123452127;8;3,10;20;12,2;2,18;1,5;;1,92;0,26;11,9%;01/06/2026;31/12/2027;regge
;;;;;;;;;;;;;;;;;
TOTALE TOSANO (fatturato budget 2026);;;;;;;;;3.184.000;;;;;;;;somma fatta a mano da L.T. - da riverificare
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;5;0,95;1,5;0,03;0,71;0,24;25,3%;01/01/2026;31/03/2026;
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;5;0,95;1,5;0,03;0,71;0,24;25,3%;01/04/2026;30/06/2026;
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;5;0,95;1,5;0,03;0,71;0,24;25,3%;01-lug-26;30-set-26;
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;20;5;0,95;1,5;0,03;0,71;0,24;25,3%;01-ott-26;31-dic-26;
Alì S.p.A.;Alìper;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;20;5;2,35;1,5;;1,92;0,43;18,3%;01/01/2026;30/06/2026;
Alì S.p.A.;Alìper;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;20;5;2,35;1,5;;1,92;0,43;18,3%;01/07/2026;31/12/2026;
Alì S.p.A.;Alìper;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;5;1,22;1,5;0,02;0,94;0,28;23,0%;01/01/2026;30/06/2026;
Alì S.p.A.;Alìper;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;5;1,22;1,5;0,02;0,94;0,28;23,0%;01/07/2026;31/12/2026;
Alì S.p.A.;Alìper;AF-CR-0220;Sfogliatina bio ai cereali;8034123452202;10;2,20;20;0,5;1,75;1,0;;1,31;0,44;25,1%;01/03/2026;31/12/2026;inserita a marzo, 12 pdv test
Alì S.p.A.;Alìper;AF-FC-0330;PROMO volantino giugno;8034123453308;10;1,60;20;10;1,15;;0,04;0,94;0,21;18,3%;08/06/2026;21/06/2026;accordo P.Zampieri tel. 14/04
Alì S.p.A.;Alìper;AF-SN-0470;Snack paprika e semi - IN SVILUPPO;N/D;12;;;;N/D;;;;#DIV/0!;;;;campioni promessi da Zanchetta x settembre
Rossetto Trade S.p.A.;Rossetto;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;18;5;0,97;1,5;;0,71;0,26;26,8%;01/01/2026;30/06/2026;
Rossetto Trade S.p.A.;Rossetto;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;18;5;0,97;1,5;;0,71;0,26;26,8%;01/07/2026;31/12/2026;
Rossetto Trade S.p.A.;Rossetto;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;20;7;2,30;1,5;;1,92;0,38;16,5%;01/01/2026;30/06/2026;
Rossetto Trade S.p.A.;Rossetto;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;20;7;2,30;1,5;;1,92;0,38;16,5%;01/07/2026;31/12/2026;
Rossetto Trade S.p.A.;Rossetto;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;3;1,24;1,5;;0,94;0,30;24,2%;01/01/2026;30/06/2026;
Rossetto Trade S.p.A.;Rossetto;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;3;1,24;1,5;;0,94;0,30;24,2%;01/07/2026;31/12/2026;
Cliente;Insegna;Cod_Art;Descrizione;EAN;Pz_cartone;Prezzo_lordo;Sc_1;Sc_2;Netto;SFA;Promo_€;Costo_ind;Marg_€;Marg_%;Dal;Al;Note
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,20;20;2,3;1,72;2,0;0,03;1,31;0,41;23,8%;01/01/2026;31/03/2026;referenza bio linea 2
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,20;20;2,3;1,72;2,0;0,03;1,31;0,41;23,8%;01/04/2026;30/06/2026;
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,20;20;2,3;1,72;2,0;0,03;1,31;0,41;23,8%;01/07/2026;30/09/2026;
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,20;20;2,3;1,72;2,0;0,03;1,31;0,41;23,8%;01/10/2026;31/12/2026;
Famila Nordest;Famila;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;20;6,5;2,32;2,0;;1,92;0,40;17,2%;01/01/2026;30/06/2026;
Famila Nordest;Famila;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;20;6,5;2,32;2,0;;1,92;0,40;17,2%;01/07/2026;31/12/2026;
Famila Nordest;Famila;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;2,3;1,25;2,0;;0,94;0,31;24,8%;01/01/2026;30/06/2026;
Famila Nordest;Famila;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;20;2,3;1,25;2,0;;0,94;0,31;24,8%;01/07/2026;31/12/2026;
Famila Nordest;Famila;AF-CR-0220;PROMO bio week;8034123452202;10;2,20;20;8;1,62;;0,05;1,31;0,31;19,1%;14/09/2026;27/09/2026;da confermare con capo area
TOTALE PARZIALE (righe sopra);;;;;;;;;;;;;;#RIF!;;;formula rotta dopo inserimento righe sim
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;15;4;1,02;;;0,71;0,31;30,4%;01/01/2026;30/06/2026;consegna franco ns stabilimento
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;15;4;1,02;;;0,71;0,31;30,4%;01/07/2026;31/12/2026;
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;15;6;2,48;;;1,92;0,56;22,6%;01/01/2026;30/06/2026;
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;15;6;2,48;;;1,92;0,56;22,6%;01/07/2026;31/12/2026;
