CONTRATTO ASSISTENZA MULTIFUNZIONE - RIEPILOGO LETTURE CONTATORI;;;;
fornitore;Ufficio Sistemi Verona srl;;;
macchina;Konica Minolta bizhub C224e;matricola;A5C1021004512;
ubicazione;uff. amministrazione piano 1;;;
canone trimestrale;145,00;copie incluse b/n;7500;
eccedenza b/n;0,0092;eccedenza colore;0,0640;
;;;;
data lettura;contatore b/n;contatore colore;copie b/n periodo;copie colore periodo
30/09/2025;184220;41882;;
31/12/2025;191455;43904;7235;2022
31/03/2026;199012;46551;7557;2647
30/06/2026;;;;
;;;;
NOTE:;;;;
- nel trimestre gen-mar sforate le copie b/n incluse di 57 (addebito 0,52 EUR, irrilevante);;;;
- il colore e' sempre sopra: chiedere se conviene un pacchetto colore piu' alto;;;;
- SEGNALATO 14/02: la macchina prende due fogli alla volta dal cassetto 2. Tecnico venuto il 19/02,;;;;
  ha pulito i rulli, per adesso va.;;;;
- il tecnico ha detto che la macchina ha 6 anni e prima o poi va cambiata.;;;;
