REGISTRO NON CONFORMITA' INTERNE - AURORA FOOD GROUP S.R.L. - ANNO 2026 - MOD-QA-18 rev.3 - agg. Pozzato S.
N_NC;Data;Origine;Reparto;Descrizione;Prodotto_Lotto;Gravità;Causa_radice;Azione_correttiva;Responsabile;Data_chiusura;Stato;Costo_stimato_€
NC-2026-001;07/01/2026;interna;Linea 1;Sottopeso rilevato su selezionatrice, 14 pezzi sotto tolleranza su AF-SN-0450;AF-SN-0450 L26007-L1-T1;bassa;dosatore starato dopo fermo natalizio;ritaratura dosatore, ricontrollo 100% inizio turno;Popescu I.;08/01/2026;CHIUSA;120,00
NC-2026-002;08/01/2026;interna;Magazzino;Rotazione FEFO non rispettata su farina tipo 00, bancale con scadenza piu vicina dietro;F0012 farina 00;bassa;mappatura ubicazioni non aggiornata;riubicazione bancali, richiamo verbale addetto;Faggionato N.;12/01/2026;CHIUSA;
NC-2026-003;09/01/2026;fornitore;Ricevimento merci;DDT Molino Veneto non riporta n. lotto farina W300, merce accettata con riserva;F0012;media;errore compilazione fornitore;richiesta DDT integrativo, sollecito a fornitore;Faggionato N.;15/01/2026;CHIUSA;N/D
NC-2026-004;12/01/2026;interna;Linea 2;Cella lievitazione fuori range UR% per 40 min, croissant turno 1 con sviluppo irregolare;AF-CR-0212 L26012-L2-T1;media;sonda umidità sporca;pulizia sonda, inserita in piano tarature;Ben Salah A.;14/01/2026;CHIUSA;850,00
NC-2026-005;2026-01-13;interna;Laboratorio;Tampone superficie impastatrice IMP-300 oltre limite CBT, ripetuto dopo sanificazione;;media;sanificazione weekend incompleta;rilavaggio secondo IO-05, tampone di verifica MOD-QA-19;Pozzato S.;16/01/2026;CHIUSA;90,00
NC-2026-006;14/01/2026;interna;Linea 3;Tunnel TS-01 tempo di abbattimento 265 min, oltre limite CCP4 240 min su carico parziale;AF-CR-0215 L26014-L2-T2;alta;piastre TS-01 con brina, resa frigorifera degradata;sbrinamento straordinario, lotto trattenuto e ricontrollato T cuore;Guerra R.;16/01/2026;CHIUSA;1.450,00
NC-2026-007;15-gen-26;interna;Manutenzione;Perdita olio idraulico sfogliatrice Linea 2, gocciolamento su pavimento non su prodotto;;media;guarnizione pistone usurata;sostituzione guarnizione, verifica assenza contaminazione;Dal Maso I.;15/01/2026;CHIUSA;310,00
NC-2026-008;16/01/2026;reclamo;Qualità;Reclamo Alì S.p.A. per 3 confezioni AF-SN-0450 con saldatura film aperta;AF-SN-0450 L26007-L1-T2;media;temperatura barra saldante instabile;controllo tenuta a campione rinforzato, taratura PKM-450;Marchetti E.;22/01/2026;CHIUSA;240,00
NC-2026-009;19/01/2026;interna;Linea 1;Verifica MD-3200 ora 16:00 non registrata su MOD-QA-07, tassello AISI 316 passato ma firma mancante;L26019-L1-T2;media;operaio nuovo non formato su frequenza oraria;formazione MOD-HR-11, ripasso checklist metal detector;Zanella D.;26/01/2026;CHIUSA;
NC-2026-010;20/01/2026;interna;Spedizioni;Pedana AF-FC-0330 caricata su vettore sbagliato, resa a stabilimento dopo 6 h a +9 gradi;AF-FC-0330 L26019-L1-T1;alta;scambio documenti in baia di carico;lotto declassato e distrutto, doppia verifica targa/DDT;Faggionato N.;23/01/2026;CHIUSA;1.980,00
NC-2026-011;21/01/2026;fornitore;Ricevimento merci;Burro Latteria Bassanese consegnato a +9,5 gradi al cuore, respinto;F0021;alta;vettore fornitore con frigo in avaria;reso totale, segnalazione in valutazione fornitori;Pozzato S.;21/01/2026;CHIUSA;0
NC-2026-012;23/01/2026;interna;Linea 2;Impasto croissant turno notte con dosaggio burro errato, 180 kg fuori ricetta;AF-CR-0215 L26023-L2-T3;media;ricetta v. precedente ancora attiva su pannello IMP-300;sfrido, aggiornamento ricettario a pannello con blocco versioni;Ben Salah A.;27/01/2026;CHIUSA;620,00
NC-2026-013;26/01/2026;interna;CIP;Concentrazione soda caustica CIP-01 sotto range in fase 2, lavaggio ripetuto;;bassa;fusto detergente Chemifood quasi vuoto, pescante scoperto;sostituzione fusto, spia livello richiesta a manutenzione;Dal Maso I.;28/01/2026;CHIUSA;180,00
NC-2026-014;27/01/2026;interna;Linea 1;Etichette AF-SN-0450 con EAN parzialmente stampato su 2 cartoni, non leggibile a scanner;AF-SN-0450 L26026-L1-T1;bassa;testina stampante sporca;pulizia testina, ricontrollo leggibilita;Popescu I.;27/01/2026;CHIUSA;60,00
NC-2026-015;28/01/2026;audit;Qualità;Audit interno: registro formazione MOD-HR-11 non aggiornato per 3 neoassunti Linea 2;;media;passaggio consegne HR incompleto;aggiornamento registro, pianificate sessioni HACCP;Sartori F.;20/02/2026;CHIUSA;
NC-2026-016;29/01/2026;interna;Magazzino;Scarico lotto su MOD-MAG-02 con quantita errata, giacenza contabile non torna con fisico;AF-CR-0212;bassa;errore trascrizione manuale;rettifica inventariale, controllo incrociato settimanale;Faggionato N.;05/02/2026;CHIUSA;N/D
NC-2026-017;30/01/2026;interna;Linea 3;Sonda T cella CF-02 segnala -12,4 per 25 min poi rientra, datalogger ok, allarme tardivo;;alta;sbrinamento evaporatore programmato in orario di carico;spostato ciclo sbrinamento su fascia notturna;Guerra R.;03/02/2026;CHIUSA;0
NC-2026-018,02/02/2026,interna,Linea 1,Fermo forno FT-01 per 55 min, bruciatore in blocco, prodotto in transito declassato, chiamato tecnico TecnoForni, Rossato arrivato ore 11:40,AF-FC-0330 L26033-L1-T1,media,pressostato gas in avaria,sostituzione pressostato, verifica combustione,Dal Maso I.,04/02/2026,CHIUSA,1.150,00
NC-2026-019;03/02/26;reclamo;Qualità;Reclamo consumatore via numero verde: croissant con gusto "vecchio", lotto non fornito dal chiamante;AF-CR-0212;bassa;non determinabile, campione non reso;risposta cortesia, verifica shelf life di riferimento;Marchetti E.;10/02/2026;CHIUSA;35,00
NC-2026-020;04/02/2026;interna;Linea 2;Sfogliatrice: nastro con giunzione danneggiata, rischio frammenti, fermata preventiva;;alta;usura giunzione oltre soglia;sostituzione nastro, ispezione integrita registrata;Dal Maso I.;05/02/2026;CHIUSA;780,00
NC-2026-021;05/02/2026;interna;Laboratorio;Ritardo invio campioni shelf life ad Analytica Veneta, finestra analitica T0 persa su un lotto;AF-SN-0455 L26033-L1-T2;bassa;corriere non prenotato;riprogrammazione piano campionamento;Pozzato S.;09/02/2026;CHIUSA;150,00
