ESTRAZIONE ORDINI ACQUISTO APERTI AL 01/06/2026 - gestionale + integrazioni a mano;;;;;;;;;;;;;
NB estrazione lanciata 01/06 h 8.05 da N.F. - le righe CHIUSO restano dentro perche il filtro del gestionale non funziona come dovrebbe;;;;;;;;;;;;;
N_ordine;Cod_forn;Fornitore;Articolo;Qta_ordinata;Qta_consegnata;Qta_residua;UM;Prezzo_unit_eur;Data_conferma;Data_consegna_prevista;Stato;Buyer;Note
OA-26-0144;F0012;Molino Veneto S.p.A.;Farina tipo 0 W300 sacco 25 kg;24.000;12.000;12.000;KG;0,52;23/04/26;2026-06-09;PARZIALE;Faggionato N.;1a consegna DDT 48392 del 04/05 ok (1 sacco rotto segregato)
OA-26-0144;F0012;Molino Veneto S.p.A.;Farina tipo 00 sacco 25 kg;6.000;0;6.000;KG;0,55;23/04/26;09/06/26;APERTO;Faggionato N.;
OA-26-0171;F0012;Molino Veneto S.p.A.;Farina tipo 0 W300 sacco 25 kg;24.000;0;24.000;KG;0,53;26/05/26;23/06/26;APERTO;Faggionato N.;prezzo +1 cent da giugno - raccolta nuova
OA-26-0171;F0012;Molino Veneto S.p.A.;Semola rimacinata sacco 25 kg;2.000;0;2.000;KG;0,62;26/05/26;23/06/26;APERTO;Faggionato N.;
OA-26-0152;F0012;Molino Veneto S.p.A.;Farina tipo 0 BIO sacco 25 kg;3.000;3.000;0;KG;0,74;28/04/26;12/05/26;CHIUSO;Faggionato N.;chiuso - resta in estrazione (bug filtro)
OA-26-0158;F0018;Oleificio Adriatico S.p.A.;Olio girasole alto oleico cisternetta;6.000;4.000;2.000;KG;1,86;30/04/26;28/05/26;SOLLECITATO;Faggionato N.;SOLLECITO 1 del 25/05 + SOLLECITO 2 del 29/05 - dicono ritardo nave grezzo
OA-26-0176;F0018;Oleificio Adriatico S.p.A.;Olio girasole alto oleico cisternetta;8.000;0;8.000;KG;2,06;28/05/26;18/06/26;APERTO;Faggionato N.;NUOVO PREZZO +11%!! comunicato con lettera 15/05 - Fantin informato - valutare 2o fornitore
OA-26-0176;F0018;Oleificio Adriatico S.p.A.;Olio EVO latta 5 L;500;0;500;KG;7,25;28/05/26;18/06/26;APERTO;Faggionato N.;anche EVO aumenta (+2%)
OA-26-0148;F0021;Latteria Bassanese Soc. Coop.;Burro 82% placca 25 kg;8.000;8.000;0;KG;7,80;24/04/26;22/05/26;CHIUSO;Faggionato N.;
OA-26-0169;F0021;Latteria Bassanese Soc. Coop.;Burro 82% placca 25 kg;10.000;2.000;8.000;KG;7,78;22/05/26;08/06/26;PARZIALE;Faggionato N.;prezzo promo contratto trim.3 - consegne settimanali 2000 kg
OA-26-0169;F0021;Latteria Bassanese Soc. Coop.;Panna UHT 35% brik 10 L;300;0;300;LT;2,95;22/05/26;08/06/26;APERTO;Faggionato N.;
