N_rapporto;Data_prelievo;Punto_di_prelievo;Parametro;Metodo;Risultato;UM;Valore_parametro_D.Lgs.18/2023;Esito;Laboratorio
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);CBT a 22 °C;UNI EN ISO 6222;12;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);CBT a 36 °C;UNI EN ISO 6222;4;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Cloro residuo libero;APAT CNR IRSA 4080;0,12;mg/l;0,2 (valore indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);pH;UNI EN ISO 10523;7,6;unità pH;6,5-9,5;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Conducibilità a 20 °C;UNI EN 27888;486;µS/cm;2500;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Torbidità;UNI EN ISO 7027-1;0,4;NTU;accettabile (≤ 1 indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Nitrati;UNI EN ISO 10304-1;18,3;mg/l;50;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Ferro;UNI EN ISO 11885;42;µg/l;200;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0098;15/01/2026;Rete ingresso stabilimento (contatore);Durezza totale;APAT CNR IRSA 2040 B;28;°f;15-50 (valore consigliato);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
