PROIEZIONE RICAVO RICORRENTE ANNUO CONTRATTI GDO 2026/2027 - rev. 7 - agg. 18/05/26 (L.Trentin su dati Paolo Zampieri e Silvia) - RISERVATO DIREZIONE;;;;;;;;;;
ipotesi: 52 settimane piene, rotazioni medie ultime 12 settimane da sell-out insegne dove disponibile, altrove stima Zampieri;;;;;;;;;;
Cliente;Insegna;Referenza;Cod_Art;Pdv_serviti;Rotazione_pz_pdv_sett;Prezzo_cess_€;Ricavo_sett;Ricavo_annuo_stim;Marginalità_%;Note
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;92;0,79;72,68;3.779,36;21,5;pdv Cerea
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;88;0,79;69,52;3.615,04;21,5;pdv Bussolengo
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;85;0,79;67,15;3.491,80;21,5;pdv Legnago
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;80;0,79;63,20;3.286,40;21,5;pdv San Bonifacio
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;78;0,79;61,62;3.204,24;21,5;pdv Villafranca
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;75;0,79;59,25;3.081,00;21,5;pdv Verona Fiera
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;72;0,79;56,88;2.957,76;21,5;pdv S.Giovanni Lupatoto
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;70;0,79;55,30;2.875,60;21,5;pdv Bovolone
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;68;0,79;53,72;2.793,44;21,5;pdv Affi
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;66;0,79;52,14;2.711,28;21,5;pdv Lugagnano
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;65;0,79;51,35;2.670,20;21,5;pdv Vicenza Ovest
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;62;0,79;48,98;2.546,96;21,5;pdv Arzignano
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;60;0,79;47,40;2.464,80;21,5;pdv Padova Est
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;58;0,79;45,82;2.382,64;21,5;pdv Mantova
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL Bonta di Casa;AF-SN-0450;1;55;0,79;43,45;2.259,40;21,5;pdv Rovigo
SUBTOTALE TOSANO AF-SN-0450;;;;15;;;848,46;44.119,92;;rotazioni sell-out portale Tosano sett.8-19
;;;;;;;;;;
Cliente;Insegna;Referenza;Cod_Art;Pdv_serviti;Rotazione_pz_pdv_sett;prezzo cessione;Ricavo_sett;Ricavo_annuo_stim;Marginalità_%;Note
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;68;1,64;111,52;5.799,04;6,8;pdv Cerea - MARGINE GIA' RISICATO
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;64;1,64;104,96;5.457,92;6,8;pdv Bussolengo
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;62;1,64;101,68;5.287,36;6,8;pdv Legnago
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;60;1,64;98,40;5.116,80;6,8;pdv San Bonifacio
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;58;1,64;95,12;4.946,24;6,8;pdv Villafranca
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;55;1,64;90,20;4.690,40;6,8;pdv Verona Fiera
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;52;1,64;85,28;4.434,56;6,8;pdv S.Giovanni Lupatoto
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;50;1,64;82,00;4.264,00;6,8;pdv Bovolone
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;48;1,64;78,72;4.093,44;6,8;pdv Affi
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;45;1,64;73,80;3.837,60;6,8;pdv Lugagnano
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;44;1,64;72,16;3.752,32;6,8;pdv Vicenza Ovest
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;42;1,64;68,88;3.581,76;6,8;pdv Arzignano
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;40;1,64;65,60;3.411,20;6,8;pdv Padova Est
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;38;1,64;62,32;3.240,64;6,8;pdv Mantova
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;35;1,64;57,40;2.984,80;6,8;pdv Rovigo
SUBTOTALE TOSANO AF-CR-0215;;;;15;;;1.248,04;64.898,08;6,8;linea 2 lavora la domenica per questi volumi, costo str. NON in margine std
Tosano Cerea SpA;Tosano;Cornetto Premium burro 6x50g marchio Aurora;AF-CR-0212;12;18;1,92;414,72;21.565,44;24,0;solo pdv grandi
Tosano Cerea SpA;Tosano;Focaccina olio EVO 2x90g ATM;AF-FC-0330;15;26;1,15;448,50;23.322,00;19,2;
Tosano Cerea SpA;Tosano;Snack rustico promo 3+1;AF-SN-0455;19;40;2,05;1.558,00;#DIV/0!;11,0;SOLO settimane promo 19-21, non annualizzare! chiesta listing fee 12.000 da Rossi
;;;;;;;;;;
APERTURE TOSANO 2026 (da inserire a regime da settembre - dati stimati Zampieri, NON nel subtotale sopra);;;;;;;;;;
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL;AF-SN-0450;1;50;0,79;39,50;2.054,00;21,5;pdv Peschiera - apertura giugno
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL;AF-SN-0450;1;45;0,79;35,55;1.848,60;21,5;pdv Curtatone
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL;AF-SN-0450;1;42;0,79;33,18;1.725,36;21,5;pdv Castiglione d/Stiviere
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL;AF-SN-0450;1;40;0,79;31,60;1.643,20;21,5;pdv Trento Sud - data apertura da confermare
Tosano Cerea SpA;Tosano;Snack rustico multicereali 100g PL;AF-SN-0450;1;38;0,79;30,02;1.561,04;21,5;pdv Schio
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;32;1,64;52,48;2.728,96;6,8;pdv Peschiera
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;30;1,64;49,20;2.558,40;6,8;pdv Curtatone
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;28;1,64;45,92;2.387,84;6,8;pdv Castiglione d/Stiviere
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;26;1,64;42,64;2.217,28;6,8;pdv Trento Sud
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg;AF-CR-0215;1;25;1,64;41,00;2.132,00;6,8;pdv Schio
;;;;;;;;;;
Ali SpA;Alì;Snack rustico multicereali 100g;AF-SN-0450;28;22;0,81;498,96;25.945,92;20,8;contratto quadro, scade contratto 31/12/26 - rinegoziare
Ali SpA;Alìper;Snack rustico multicereali 100g;AF-SN-0450;12;35;0,81;340,20;17.690,40;20,8;
Ali SpA;Alì;Focaccina olio EVO 2x90g;AF-FC-0330;25;15;1,18;442,50;23.010,00;20,1;
Ali SpA;Alìper;Focaccina olio EVO 2x90g;AF-FC-0330;12;20;1,18;283,20;14.726,40;20,1;
Ali SpA;Alìper;Cornetto Premium burro 6x50g;AF-CR-0212;12;10;1,95;234,00;12.168,00;24,6;solo banco surgelati Alìper
Ali SpA;Alì;Snack rustico promo 3+1;AF-SN-0455;;;2,10;#DIV/0!;#DIV/0!;;in trattativa category Alì, non referenziato - da confermare con Silvia
SUBTOTALE ALI (escl. 0455);;;;40;;;1.798,86;93.540,72;;
;;;;;;;;;;
Rossetto Trade SpA;Rossetto;Snack rustico multicereali 100g;AF-SN-0450;9;48;0,80;345,60;17.971,20;21,0;rotazioni alte, iper grandi
Rossetto Trade SpA;Rossetto;Focaccina olio EVO 2x90g;AF-FC-0330;9;30;1,16;313,20;16.286,40;19,5;
Rossetto Trade SpA;Rossetto;Cornetto Premium burro 6x50g;AF-CR-0212;9;14;1,90;239,40;12.448,80;23,8;
Rossetto Trade SpA;Rossetto;Snack rustico promo 3+1;AF-SN-0455;9;20;2,08;374,40;19.468,80;11,0;promo giugno da confermare con Silvia
SUBTOTALE ROSSETTO;;;;9;;;1.272,60;66.175,20;;
;;;;;;;;;;
Famila Nordest;Famila;Sfogliatina bio ai cereali;AF-CR-0220;40;9;1,42;511,20;26.582,40;27,4;bio ICEA IT BIO 006 - margine migliore del listino
Famila Nordest;Famila Superstore;Sfogliatina bio ai cereali;AF-CR-0220;18;14;1,42;357,84;18.607,68;27,4;
Famila Nordest;Famila;Snack rustico multicereali 100g;AF-SN-0450;40;12;0,82;393,60;20.467,20;21,2;
Famila Nordest;Famila Superstore;Focaccina olio EVO 2x90g;AF-FC-0330;18;16;1,17;336,96;17.521,92;19,4;
SUBTOTALE FAMILA;;;;58;;;1.599,60;83.179,20;;
;;;;;;;;;;
Cibus Gross Srl;grossista Ho.Re.Ca.;Cornetto Premium burro 6x50g;AF-CR-0212;N/D;N/D;1,78;1.240,00;64.480,00;22,0;ricavo da fatturato medio sett., non da rotazioni pdv
Valgross SpA;grossista Ho.Re.Ca.;Cornetto Premium burro 6x50g;AF-CR-0212;N/D;N/D;1,76;980,00;50.960,00;21,5;
Horeca Forniture VR Srl;grossista Ho.Re.Ca.;Sfogliatina bio ai cereali;AF-CR-0220;N/D;N/D;1,95;420,00;21.840,00;26,0;
Catering Veneto Snc;Ho.Re.Ca.;Focaccina olio EVO 2x90g;AF-FC-0330;N/D;N/D;1,30;260,00;13.520,00;18,0;cliente piccolo, RIBA insolute 2 volte su 6 - v. scadenzario
;;;;;;;;;;
;;;;;;;;;;
SCENARIO "IPOTESI -4,5% RICHIESTA BUYER ROSSI" (mail M.Rossi 05/05/26) + LISTING FEE 12.000 UNA TANTUM SU AF-SN-0455;;;;;;;;;;
Tosano Cerea SpA;Tosano;Cornetto Premium PL 8x45g surg - SCENARIO;AF-CR-0215;15;;1,57;1.194,77;#RIF!;-0,2;SOTTO ZERO col nuovo prezzo. NON firmare cosi. Parlare con Giancarlo PRIMA dell'incontro del 15/06
