REGISTRO ANTINCENDIO - ESTINTORI E IDRANTI;;;;;;
ditta manutentrice: Antincendio Scaligera srl - Legnago (VR);;;;;;
;;;;;;
n.;tipo;capacità;ubicazione;ultima revisione;prossima scadenza;esito
1;polvere ABC;6 kg;portineria;12/11/2025;12/05/2026;OK
2;polvere ABC;6 kg;uffici piano 1 - corridoio;12/11/2025;12/05/2026;OK
3;CO2;5 kg;quadro elettrico generale;12/11/2025;12/05/2026;OK
4;polvere ABC;6 kg;spogliatoi;12/11/2025;12/05/2026;OK
5;polvere ABC;9 kg;magazzino MP - lato nord;12/11/2025;12/05/2026;OK
6;polvere ABC;9 kg;magazzino MP - lato sud;12/11/2025;12/05/2026;OK
7;CO2;5 kg;quadro linea 1;12/11/2025;12/05/2026;OK
8;polvere ABC;6 kg;linea 1 - uscita forno;12/11/2025;12/05/2026;manometro cambià
9;polvere ABC;6 kg;linea 2;12/11/2025;12/05/2026;OK
10;CO2;5 kg;quadro linea 2;12/11/2025;12/05/2026;OK
11;polvere ABC;9 kg;linea 3 / cella;12/11/2025;12/05/2026;OK
12;CO2;5 kg;sala compressori;12/11/2025;12/05/2026;OK
13;polvere ABC;6 kg;officina;12/11/2025;12/05/2026;giu de pressione, ricaricà
14;polvere ABC;6 kg;mensa;12/11/2025;12/05/2026;OK
15;polvere ABC;9 kg;magazzino PF;12/11/2025;12/05/2026;OK
16;CO2;5 kg;locale CED;12/11/2025;12/05/2026;OK
17;polvere ABC;6 kg;deposito imballi;12/11/2025;12/05/2026;mancava el cartel, messo
18;polvere ABC;6 kg;piazzale - colonnina;12/11/2025;12/05/2026;OK
;;;;;;
idrante A;UNI 45;;piazzale lato ingresso;12/11/2025;12/05/2026;OK
idrante B;UNI 45;;magazzino MP;12/11/2025;12/05/2026;OK
idrante C;UNI 45;;lato produzione;12/11/2025;12/05/2026;guarnizion nova
;;;;;;
PROSSIMA VERIFICA SEMESTRALE: 12/05/2026
(Dal Maso 04/05) ciamai, i vien el 19/05 che prima no i ga posto. Dirghelo a la Marchetti.
