REGISTRO TAMPONI SUPERFICI - MOD-QA-19 - anno 2026 - lab. esterno Analytica Veneta S.r.l. (ACCREDIA 0987);;;;;;;;;;;;;;
N_rapporto;Data_prelievo;Data_analisi;Zona;Punto_prelievo;Linea;Tipo_superficie;Parametro;Metodo;Risultato;UM;Limite;Esito;Operatore;Note
AV-26/0142;13/01/26;16/01/26;1;nastro forno FT-01;L1;acciaio inox;CBT 30°C;ISO 4833-1;<10;UFC/cm2;<=50;CONFORME;Pozzato S.;post sanificazione
AV-26/0142;13/01/26;16/01/26;1;nastro forno FT-01;L1;acciaio inox;Enterobacteriaceae;ISO 21528-2;<1;UFC/cm2;<=10;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;18/01/26;1;nastro forno FT-01;L1;acciaio inox;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;uscita PT-104;L1;acciaio inox;CBT 30°C;ISO 4833-1;<10;UFC/cm2;<=50;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;uscita PT-104;L1;acciaio inox;Enterobacteriaceae;ISO 21528-2;<1;UFC/cm2;<=10;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;18/01/26;1;uscita PT-104;L1;acciaio inox;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;scivolo MD-3200;L1;acciaio inox;CBT 30°C;ISO 4833-1;15;UFC/cm2;<=50;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;scivolo MD-3200;L1;acciaio inox;Enterobacteriaceae;ISO 21528-2;<1;UFC/cm2;<=10;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;ganasce PKM-450;L1;acciaio inox;CBT 30°C;ISO 4833-1;22;UFC/cm2;<=50;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;ganasce PKM-450;L1;acciaio inox;Enterobacteriaceae;ISO 21528-2;2;UFC/cm2;<=10;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;18/01/26;1;ganasce PKM-450;L1;acciaio inox;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;mani operatore (Popescu I.);L1;cute/guanto;Staphylococcus aureus;ISO 6888-1;<1;UFC/cm2;<=1;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;mani operatore (addetto farcitura);L1;cute/guanto;Enterobacteriaceae;ISO 21528-2;<1;UFC/cm2;<=1;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;2;maniglie porta ingresso L1;L1;acciaio verniciato;CBT 30°C;ISO 4833-1;1,4x10^2;UFC/cm2;<=100;NON CONFORME;Pozzato S.;risanificato in giornata vedi riga sotto
AV-26/0143;15/01/26;17/01/26;2;maniglie porta ingresso L1;L1;acciaio verniciato;CBT 30°C;ISO 4833-1;35;UFC/cm2;<=100;CONFORME;Pozzato S.;ricampionamento post sanificazione straordinaria IO-05 del 14/01
AV-26/0142;13/01/26;16/01/26;2;ruote carrelli farcitura;L1;plastica;CBT 30°C;ISO 4833-1;2,3x10^2;UFC/cm2;<=500;CONFORME;Pozzato S.;zona 2 limite ampio
AV-26/0142;13/01/26;18/01/26;3;scarico a pavimento sotto PT-104;L1;ghisa/PVC;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;18/01/26;3;scarico a pavimento sotto PT-104;L1;ghisa/PVC;Salmonella spp.;ISO 6579-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;18/01/26;1;guarnizioni cella CF-02;L3;gomma;Listeria monocytogenes;ISO 11290-1;ASSENTE;/25cm2;assente/25cm2;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;guarnizioni cella CF-02;L3;gomma;Lieviti;ISO 21527-1;<10;UFC/cm2;<=100;CONFORME;Pozzato S.;
AV-26/0142;13/01/26;16/01/26;1;guarnizioni cella CF-02;L3;gomma;Muffe;ISO 21527-1;12;UFC/cm2;<=100;CONFORME;Pozzato S.;condensa su guarnizione lato sx
AV-26/0142;13/01/26;16/01/26;1;piano sfogliatrice;L2;acciaio inox;CBT 30°C;ISO 4833-1;<10;UFC/cm2;<=50;CONFORME;Pozzato S.;
