SCADENZARIO EFFETTI E PAGAMENTI - GIUGNO 2026 - agg. 03/06/26 (L.Trentin);;;;;;;;;
banca di appoggio ns: UniCredit Cologna Veneta salvo diversa indicazione;;;;;;;;;
TIPO;CLIENTE/FORNITORE;N.FATT;DATA FATT;SCADENZA;IMPORTO;IVA;STATO;BANCA;NOTE
ATTIVO;Tosano Cerea S.p.A.;V/2026/0231;10/03/26;10/06/2026;48.712,30;4%+10%;PRESENTATO SBF;UniCredit;RIBA 90gg dffm - incasso marzo, QUESTA tiene su la cassa
ATTIVO;Tosano Cerea S.p.A.;V/2026/0244;2026-03-14;10/06/2026;22.408,16;N/D;PRESENTATO SBF;UniCredit;RIBA 90gg dffm
ATTIVO;Tosano Cerea S.p.A.;V/2026/0259;24/03/26;10/06/2026;31.150,44;misto;PRESENTATO SBF;UniCredit;promo sottocosto, gia' netto sconto merce 2%
ATTIVO;Tosano Cerea S.p.A.;V/2026/0263;28-mar-26;10/06/2026;9.884,70;10%;PRESENTATO SBF;UniCredit;RIBA 90gg
ATTIVO;Ali' S.p.A.;V/2026/0238;12/03/26;15/06/2026;11.230,55;10%;PRESENTATO SBF;UniCredit;RIBA 90gg fm
ATTIVO;Ali' S.p.A.;V/2026/0271;31/03/26;15/06/2026;7.442,08;10%;DA PRESENTARE;UniCredit;
ATTIVO;Rossetto Trade S.p.A.;V/2026/0246;16/03/26;15/06/2026;8.905,12;10%;PRESENTATO SBF;UniCredit;
ATTIVO;Famila Nordest;V/2026/0250;18/03/26;20/06/2026;6.318,90;10%;DA PRESENTARE;UniCredit;sfogliatina bio AF-CR-0220
ATTIVO;Grossmarket Berica S.r.l. (HoReCa);V/2026/0212;02/03/26;01/06/2026;3.412,60;10%;INSOLUTO;UniCredit;RIBA TORNATA INSOLUTA 01/06 - 1? sollecito tel 03/06 (parlato con sig.ra Rachele, dice pagano bonifico entro il 15) - riaddebito spese 6,50
ATTIVO;F.lli Perin Forniture Bar S.n.c.;V/2026/0198;20/02/26;20/05/2026;1.876,44;10%;INSOLUTO;UniCredit;2? INSOLUTO STESSO CLIENTE - sollecito scritto PEC 26/05, se nn paga entro 20/06 passare ad avv. Faccin e BLOCCO FORNITURE (avvisata Silvia)
ATTIVO;Cavazza Catering & Forniture;V/2026/0225;06/03/26;05/06/2026;2.940,00;10%;INSOLUTO;UniCredit;insoluto 05/06 - sollecito mail 08/06, lamenta contestazione su 2 colli (verificare con Faggionato DDT del 06/03)
ATTIVO;Tosano Cerea S.p.A.;V/2026/0301;08/04/26;10/07/2026;38.204,90;misto;DA PRESENTARE;UniCredit;RIBA 90gg - va in distinta fine giugno
ATTIVO;Tosano Cerea S.p.A.;V/2026/0315;15/04/26;2026-07-10;27.911,32;misto;DA PRESENTARE;UniCredit;
ATTIVO;Tosano Cerea S.p.A.;V/2026/0328;22/04/26;20/07/2026;19.640,00;N/D;DA PRESENTARE;UniCredit;controllare: contributo promozionale da stornare?
ATTIVO;Ali' S.p.A.;V/2026/0308;10/04/26;10/07/2026;10.115,70;10%;DA PRESENTARE;UniCredit;
ATTIVO;Rossetto Trade S.p.A.;V/2026/0312;2026-04-12;15/07/2026;6.771,25;10%;DA PRESENTARE;UniCredit;
ATTIVO;Famila Nordest;V/2026/0334;24/04/26;25/07/2026;5.480,16;10%;DA PRESENTARE;UniCredit;
ATTIVO;Grossmarket Berica S.r.l. (HoReCa);V/2026/0286;03/04/26;03/07/2026;2.988,40;10%;DA PRESENTARE;UniCredit;NON presentare finche' nn rientra insoluto giugno
PASSIVO;Molino Veneto S.p.A. (F0012);818/26;30/04/26;15/06/2026;24.882,45;4%;DA PRESENTARE;UniCredit;RIBA 45gg - farina W300 + tipo 00
PASSIVO;Molino Veneto S.p.A. (F0012);902/26;15/05/26;30/06/2026;18.416,20;4%;DA PRESENTARE;UniCredit;RIBA
PASSIVO;Oleificio Adriatico S.p.A. (F0018);2026/1104;28/04/26;15/06/2026;9.912,80;10%;DA PRESENTARE;UniCredit;listino +11% da aprile, ahi
PASSIVO;Latteria Bassanese Soc.Coop. (F0021);644/B;30-apr-26;15/06/2026;16.208,33;10%;DA PRESENTARE;UniCredit;burro - volumi promo Tosano
PASSIVO;Latteria Bassanese Soc.Coop. (F0021);701/B;15/05/26;30/06/2026;12.face740,10;10%;DA PRESENTARE;UniCredit;IMPORTO SPORCO da export, quello vero e' 12.740,10 - correggere in distinta
PASSIVO;Zuccherificio Padano S.r.l. (F0025);413;05/05/26;20/06/2026;4.618,00;10%;DA PRESENTARE;UniCredit;
PASSIVO;Lievital S.r.l. (F0029);2026-0688;08/05/26;22/06/2026;2.114,66;10%;DA PRESENTARE;UniCredit;
PASSIVO;Euroglass Boccacci S.r.l. (F0031);556/E;12/05/26;30/06/2026;7.348,90;22%;DA PRESENTARE;UniCredit;vasetti linea creme
PASSIVO;Flexipack Nordest S.r.l. (F0044);FA1180;30/04/26;15/06/2026;13.906,54;22%;DA PRESENTARE;UniCredit;film MAP + vaschette, DoC ok
PASSIVO;Chemifood Italia S.r.l. (F0052);2026/0912;05/05/26;20/06/2026;3.284,12;22%;DA PRESENTARE;UniCredit;detergenti CIP
PASSIVO;Nordgas S.p.A. (F0061);N/2026/4471;30/04/26;15/06/2026;5.667,08;22%;DA PRESENTARE;UniCredit;azoto E941 + CO2 - consumo alto x MAP
PASSIVO;Pakmatic Italia S.r.l. (F0077);726/26;15/05/26;15/06/2026;1.680,00;22%;DA PRESENTARE;UniCredit;intervento urgenza valvola azoto PKM-450 del 10-11/05
PASSIVO;Pakmatic Italia S.r.l. (F0077);748/26;18/05/26;30/06/2026;964,30;22%;DA PRESENTARE;UniCredit;ricambio originale valvola (arrivato 15/05)
PASSIVO;Veneta Energia S.p.A. (F0081);V26/02655;31/05/26;16/06/2026;26.114,08;10%;DA PRESENTARE;UniCredit;EE maggio - SDD
PASSIVO;Veneta Energia S.p.A. (F0081);V26/02656;31/05/26;16/06/2026;5.940,22;10%;DA PRESENTARE;UniCredit;gas maggio - SDD
PASSIVO;Analytica Veneta S.r.l. (F0090);388/26;20/05/26;20/06/2026;2.230,00;22%;DA PRESENTARE;UniCredit;quota contratto + analisi urgenti frammento L26130 (890) - copia a Marchetti x sinistro AIG
PASSIVO;Rational Pack S.r.l. (F0095);1240/26;10/05/26;30/06/2026;6.412,75;22%;DA PRESENTARE;UniCredit;cartone + pallet
PASSIVO;Trasporti Frigo Veneto S.r.l.;512/T;31/05/26;30/06/2026;8.216,40;22%;DA PRESENTARE;UniCredit;trasporti maggio, incl. extra promo
PASSIVO;Logistica Zorzi S.a.s.;188;31/05/26;30/06/2026;3.106,90;22%;DA PRESENTARE;UniCredit;
PASSIVO;FrigoExpress Nordest S.r.l.;2026/774;31/05/26;30/06/2026;2.870,15;22%;DA PRESENTARE;N/D;
PASSIVO;Autotrasporti Bregolin;96/26;22/05/26;22/06/2026;1.440,00;22%;DA PRESENTARE;UniCredit;consegne Cerea
PASSIVO;UniCredit Leasing (forno FT-02);rata 52/72;;05/06/2026;3.850,00;22%;PAGATO;UniCredit;RID passato regolarmente il 05/06
PASSIVO;Sella Leasing (PKM-450);rata 61/84;;10/06/2026;2.170,00;22%;DA PRESENTARE;Sella (RID);addebito su UniCredit tramite SDD
PASSIVO;Toyota MH (muletto);canone giu;;10/06/2026;612,00;22%;DA PRESENTARE;UniCredit;full service
PASSIVO;ERARIO - F24 giugno;F24;;16/06/2026;68.414,27;;DA PRESENTARE;UniCredit;IVA liquid. maggio + ritenute + INPS + INAIL rata - PESANTE causa straordinari promo apr/mag
PASSIVO;TecnoForni Service;TFS 84/26;01/06/26;01/07/2026;4.600,00;22%;DA PRESENTARE;UniCredit;canone trim. contratto full-risk TFS-2026-084
PASSIVO;Studio Bellotto & Associati;190/2026;31/05/26;15/06/2026;1.800,00;22%;DA PRESENTARE;UniCredit;forfait mensile
PASSIVO;Studio Bellotto & Associati;188/2026;12/05/26;12/06/2026;1.500,00;22%;DA PRESENTARE;UniCredit;acconto pratica credito imposta 4.0 tunnel
PASSIVO;Studio Alimentaria - Vicentini;77/26;31/05/26;30/06/2026;1.980,00;22%;DA PRESENTARE;UniCredit;canone 780 + 16h extra gestione reclamo (1.200)
PASSIVO;Studio Bonato & Partners - RSPP;2026/112;31/05/26;30/06/2026;450,00;22%;DA PRESENTARE;UniCredit;rata incarico annuo
PASSIVO;Civis Sicurezza;344/26;31/05/26;30/06/2026;890,00;22%;DA PRESENTARE;UniCredit;vigilanza giugno
PASSIVO;Ecoveneta;2026/2081;31/05/26;30/06/2026;744,60;22%;DA PRESENTARE;UniCredit;cassoni plastica maggio
TIPO;CLIENTE/FORNITORE;N.FATT;DATA FATT;SCADENZA;IMPORTO;IVA;STATO;BANCA;NOTE
ATTIVO;Tosano Cerea S.p.A.;V/2026/0401;05/05/26;05/08/2026;41.320,18;misto;DA PRESENTARE;UniCredit;RIBA 90gg - distinta luglio
ATTIVO;Tosano Cerea S.p.A.;V/2026/0415;12/05/26;10/08/2026;33.618,25;misto;DA PRESENTARE;UniCredit;
ATTIVO;Tosano Cerea S.p.A.;V/2026/0422;2026-05-18;20/08/2026;12.804,66;N/D;DA PRESENTARE;UniCredit;ATTENZIONE possibile nota credito se parte ritiro lotti L26130/L26131 - congelare presentazione, sentire Silvia
