COMPARATIVA TARIFFE VETTORI 2026 - catena del freddo +2/+4 e -18 - uso interno logistica;;;;;;;;;;;;
file iniziato da Faggionato gen 2026 - AGGIORNARE SOLO QUESTO non le copie sul desktop di Luisa;;;;;;;;;;;;
rev.2 del 12/03 sostituisce rev.1 del 09/01 - le righe rev.1 andavano cancellate ma ne sono rimaste alcune (contrassegnate o no);;;;;;;;;;;;
Vettore;Tratta;CAP_destino;Tipo_mezzo;Tariffa_pallet_eur;Tariffa_viaggio_eur;Suppl_gasolio;Sponda_idraulica;Attesa_oltre_60min_eur_h;Notturno_festivo;Penale_mancata_consegna;Validita;Note
Trasporti Frigo Veneto;Cologna Veneta-CE.DI. Cerea;37053;motrice frigo -18;18,50;185,00;indicizz. MISE mensile +/-;inclusa;35,00;+25%;80,00;31/12/26;rev.2 - tratta principale Tosano
Trasporti Frigo Veneto;Cologna Veneta-CE.DI. Cerea;37053;bilico frigo -18;14,00;310,00;indicizz. MISE mensile;inclusa;35,00;+25%;80,00;31/12/26;rev.2 - carichi completi 33 plt
Trasporti Frigo Veneto;Cologna Veneta-CE.DI. Cerea;37053;motrice frigo -18;17,20;172,00;7,5% fisso;inclusa;30,00;+20%;n/d;31/12/25;VECCHIA rev.1 - NON USARE
Trasporti Frigo Veneto;Cologna Veneta-Ali Padova;35127;motrice frigo +2/+4;16,80;168,00;indicizz. MISE;inclusa;35,00;+25%;80,00;31/12/26;rev.2
Trasporti Frigo Veneto;Cologna Veneta-Ali Padova;35127;motrice frigo -18;19,20;192,00;indicizz. MISE;inclusa;35,00;+25%;80,00;31/12/26;rev.2
Trasporti Frigo Veneto;Cologna Veneta-Rossetto Trade VR;37135;motrice frigo +2/+4;15,50;155,00;indicizz. MISE;inclusa;35,00;+25%;80,00;31/12/26;
Trasporti Frigo Veneto;Cologna Veneta-CEDI Famila Nordest VI;36100;motrice frigo -18;17,80;178,00;indicizz. MISE;inclusa;35,00;+25%;80,00;31/12/26;
Trasporti Frigo Veneto;Cologna Veneta-Brescia grossista;25100;motrice frigo +2/+4;21,00;230,00;indicizz. MISE;inclusa;35,00;+25%;80,00;31/12/26;
Trasporti Frigo Veneto;Cologna Veneta-Milano piattaforma;20090;bilico frigo -18;16,50;480,00;indicizz. MISE;no;40,00;+25%;120,00;31/12/26;groupage lun-mer-ven
Trasporti Frigo Veneto;Cologna Veneta-Bologna interporto;40010;bilico frigo -18;15,80;420,00;indicizz. MISE;no;40,00;+25%;120,00;31/12/26;
Trasporti Frigo Veneto;Cologna Veneta-Treviso grossista HoReCa;31100;motrice frigo +2/+4;17,00;170,00;indicizz. MISE;inclusa;35,00;+25%;80,00;31/12/26;
Trasporti Frigo Veneto;giro consegne HoReCa 3 tappe VR-VI;vari;motrice frigo +2/+4;;265,00;indicizz. MISE;inclusa;35,00;+30%;80,00;31/12/26;forfait a giro - max 14 plt
Logistica Zorzi;Cologna Veneta-CE.DI. Cerea;37053;motrice frigo -18;17,90;179,00;incluso nel prezzo;inclusa;25,00;+20%;60,00;30/06/26;rev.2 - da rinegoziare a luglio
Logistica Zorzi;Cologna Veneta-CE.DI. Cerea;37053;furgone frigo +2/+4;;95,00;incluso;no;25,00;+20%;60,00;30/06/26;consegne urgenti piccole - max 4 plt
Logistica Zorzi;Cologna Veneta-Ali Padova;35127;motrice frigo +2/+4;16,20;162,00;incluso;inclusa;25,00;+20%;60,00;30/06/26;
Logistica Zorzi;Cologna Veneta-Ali Padova;35127;motrice frigo +2/+4;17,00;170,00;incluso;inclusa;25,00;+20%;60,00;30/06/26;ATTENZIONE prezzo diverso da riga sopra - quale vale? sentire Zorzi
